university_name,category,keyword,video_id,video_title,channel_name,published_at
IIT Kanpur,placement,placement review,KATM9yf8tXM,IIT Kanpur College Review InShort,Apna College,2023-02-24T14:44:11Z
IIT Kanpur,placement,placement review,MEbNCC0DSXw,IIT Kanpur M.Tech Cutoff : IIT Kanpur M.Tech Placements : COAP 2026 @TheCivilGuruji #iitkanpur #iit,Aniruddha Sir : The Civil Guruji,2026-04-11T14:35:06Z
IIT Kanpur,placement,placement review,-jebfKbpNWU,Inside IIT Kanpur Aerospace | Future of Indian Aviation 🇮🇳✈️ #iit #iitjee #iitjam #gate #iitkanpur,AnalyticEdge(IITK),2025-07-27T15:10:22Z
IIT Kanpur,placement,placement review,e9jruj1EMUQ,IIT KANPUR PLACEMENT 2024-25 🔥 || HIGHEST PACKAGE 🤑 || AVERAGE PACKAGE 😳 #shorts,Tarkar vlog,2025-05-12T12:18:11Z
IIT Kanpur,placement,placement review,QpNMnTR7_hc,IIT Kanpur EXPOSED 💀🥹 IIT Kanpur Placements 🫡 IIT JEE #iit #jee,RDS Vlogs [IIT Guwahati],2025-06-04T19:47:19Z
IIT Kanpur,placement,placement review,Se96oGIEmnE,"IIT Kanpur Placements | Average &amp; Highest Salary, Packages, Top Recruiters &amp; Alumni",MBA360,2026-02-03T11:02:34Z
IIT Kanpur,placement,placement review,kgMoR5Obqjk,IIT Kanpur college review 2025 : Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-11-02T06:30:24Z
IIT Kharagpur,placement,placement review,jp_TOapsYxw,IIT Kharagpur Me Pure Batch Ko Mila Campus Placement🔥🥳 #PW #GATE,"GATE Wallah - ME, CE, XE, CH, PI & ES",2024-09-25T15:30:14Z
IIT Kharagpur,placement,placement review,2WdEOwZP_go,IIT Kharagpur 2024-25 Placements | ₹2.14 Cr Highest Package | 1800+ Job Offers!,Careers360,2025-06-11T13:49:46Z
IIT Kharagpur,placement,placement review,xHPT_o_rz0w,☺️Visiting IIT KGP Hostel - Sundar Pichai,Pawan Kushwaha,2024-01-02T02:30:34Z
IIT Kharagpur,placement,placement review,JlnkpZmhbSc,🤯IIT KHARAGPUR Review in 30 Secs!⚡️| Fees | Placement #jee #iit,selfPadhai - Rohit Nagar,2024-07-22T14:00:48Z
IIT Kharagpur,placement,placement review,YVCK91tCgCc,"Why IIT Kharagpur is a Top IIT in India | Placements, Rankings &amp; Campus Tour",ALLEN JEE,2025-08-31T05:30:15Z
IIT Kharagpur,placement,placement review,5ahRwHJ81C0,IIT Kharagpur Placements 2026🔥 | Record Breaking😍,The MS BESTS,2025-12-06T13:10:00Z
IIT Kharagpur,placement,placement review,nppCVOy89dU,IIT Kharagpur scam explained 😱💔 |,Akash Gupta [ NITP ],2024-07-16T15:30:21Z
IIT Kharagpur,placement,placement review,I8OGB56ZX4U,IIT Kharagpur Placements Begin with a ₹1 Crore Offer!😱#placement #iit #jee #cse #motivation #viral,IIT Odyssey,2025-10-07T19:21:30Z
IIT Kharagpur,placement,placement review,ITqABc695so,"IIT Kharagpur M.Tech Admission | Placements, Fees, Cutoff | CE | ME | XE Branch | Complete Guidance","GATE Wallah - ME, CE, XE, CH, PI & ES",2025-04-03T01:01:59Z
IIT Kharagpur,placement,placement review,2wFLNOyacdg,IIT Kharagpur Bigger than a Country??😱😱#iit #jee #jee2025 #vaticancity #iitjee #iitkharagpur,Vedantu JEE Made Ejee,2024-07-05T05:30:01Z
IIT Roorkee,placement,placement review,br7UdIZ5Q3g,IIT Roorkee Placements: All you need to know! #iit #placements #jeemains #iitjee,MARKS - IIT JEE & NEET Prep App,2024-09-27T12:34:23Z
IIT Roorkee,placement,placement review,61l3W-tMjzE,IIT ROORKEE Review in 30 secs!🔥| Campus | Placement | Fees #review,selfPadhai - Rohit Nagar,2024-07-13T14:58:27Z
IIT Roorkee,placement,placement review,IOo3Mj_0Gvo,IIT Roorkee में मिलती है Aisi PUNISHMENT 😨😨 #jee  #jeemains2024 #iitjee #jeemains #jeemotivation,Vedantu JEE Made Ejee,2023-08-13T13:30:12Z
IIT Roorkee,placement,placement review,Io8hA0wokXE,IIT Roorkee Branch Wise Placement Data #PW #GATE,GATE Wallah,2025-05-16T08:30:09Z
IIT Roorkee,placement,placement review,7T0eAOmHEeE,IIT ROORKEE PLACEMENTS 2025 🤑 | #iitroorkee #iit #iitians #placement #iitmotivation #shorts #viral,SAM [ IIT ROORKEE ],2025-10-03T11:27:11Z
IIT Roorkee,placement,placement review,7b1AoqbfBx0,a day at IIT Roorkee #jeeadvanced #jeemains #college #adayinmylife,Shivna Rathore,2025-09-27T08:44:08Z
IIT Roorkee,placement,placement review,CKuZbUYc_B0,From IIT to ₹____ per Month 😳 | IIT Placement Salary 🔥 IITians Salary Per Month in India #jee #iit,RDS Vlogs [IIT Guwahati],2025-06-21T12:29:03Z
IIT Roorkee,placement,placement review,tMyzMD7-wvg,IIT Roorkee Review in 1 Min | Inside IIT Roorkee | Arvind Kalia Sir | #shorts #jee #iitroorkee,Vedantu JEE,2022-12-07T11:32:35Z
IIT Roorkee,placement,placement review,ZKL_szaLsPE,💥 IIT Roorkee JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-24T06:30:19Z
IIT Roorkee,placement,placement review,cui_jhX2n8w,Placement  Reality in IIT✨ - last semester in IIT episode:3 ❤️ #iit #placements #minivlogs,Harshita Singh(IITian),2025-06-06T14:12:20Z
IIT Guwahati,placement,placement review,9TyuKqxGtAg,IITians Salary after 2 Years 🗿🔥 70 LPA Package (IIT Guwahati) 🔥 JEE Motivation #shorts #iit,RDS Vlogs [IIT Guwahati],2024-05-24T04:32:14Z
IIT Guwahati,placement,placement review,4nCR6SjHzdU,"IIT Guwahati Latest Placement Official Data | Average Package, Top Recruiters &amp; Branch wise Insights",GATE Wallah,2025-10-11T06:02:17Z
IIT Guwahati,placement,placement review,CQrqcAzpZss,IIT Guwahati Mein Kitna Placement Aata Hai #Shorts #PhysicsWallah,GATE Wallah,2023-09-04T08:30:03Z
IIT Guwahati,placement,placement review,mAbWVTBYCr0,My Placement at IIT Guwahati From CSE | IIT Motivation 🔥 #iit,The Mohment,2023-05-06T14:30:15Z
IIT Guwahati,placement,placement review,tcxE8GigKII,"IIT Guwahati Placement Report 2025, BTech MTech MBA Placement in IIT Guwahati #iitplacement",Ujjwal Kumar Sen,2025-10-18T05:53:28Z
IIT Guwahati,placement,placement review,2tconj9E940,💥 IIT Guwahati  JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-21T11:35:21Z
IIT Guwahati,placement,placement review,2E6N377xjck,"IIT Guwahati M.Tech 2026 | Cutoff, Eligibility &amp; Placement Data","INFINITY ZONE - GATE, ESE, PSUs & AE JE",2026-03-27T05:07:09Z
IIT Guwahati,placement,placement review,azZNKYhdYWM,Battle of the IITs: IIT Guwahati vs IIT Madras vs IIT Bombay 👀 #iitjee,Raise Your Potential,2025-05-23T11:13:32Z
IIT Hyderabad,placement,placement review,DdIbn-xqbXs,IIT Hyderabad MTech AI &amp; CSE Placements 2026 | ₹1 Cr+ Offers in Day 1–3 😱,GATEASPIRANT [IIT Roorkee],2026-01-12T16:52:07Z
