NGram,Frequency
hostel mess,87
brother sister,81
india safe,64
shame shame,60
nepali brother,58
mess food,56
mess fee,53
hate india,45
sorry nepal,43
indian people,42
indian government,42
shame india,42
raising voice,41
bjp leader,40
day day,40
action taken,40
hostel fee,40
strict action,39
raise voice,39
nepal india,38
shame indian,37
feel ashamed,34
hostel room,32
sorry nepali,31
get justice,31
neighbouring country,31
india nepal,31
north indian,29
social medium,29
ashamed indian,29
