NGram,Frequency
data science,24
nice dance,13
tamil nadu,9
madras dream,8
medical podunga,8
graphic era,7
coming soon,7
pillar boy,7
bharathiyar ponga,6
worth placement,6
computer science,6
good help,6
placement good,6
konsi branch,6
beautiful dance,6
aiims delhi,5
shakunatala rehabilitation,5
pre placement,5
rehabilitation lucknow,5
madras online,5
