hashtag,sentiment,university_name,published_at,likes,reply_count
#educational_institutions,Positive,IIT Roorkee,2025-04-11 11:39:57+00:00,1,0
#iit,Positive,IIT Gandhinagar,2025-12-11 09:23:58+00:00,15,0
#jee,Positive,IIT Gandhinagar,2025-12-11 09:23:58+00:00,15,0
#motionite,Positive,IIT Gandhinagar,2025-12-11 09:23:58+00:00,15,0
#motionite,Positive,IIT Guwahati,2026-06-03 12:39:10+00:00,25,0
#motion,Positive,IIT Guwahati,2026-06-03 12:39:10+00:00,25,0
#motionite,Negative,IIT Guwahati,2025-09-25 12:04:59+00:00,75,0
#motionite,Positive,IIT Mandi,2025-11-07 11:55:32+00:00,11,1
#motionite,Positive,IIT Mandi,2025-09-12 09:24:18+00:00,15,0
#motionite,Neutral,IIT Gandhinagar,2025-12-12 10:50:01+00:00,0,0
#topic,Positive,Aligarh Muslim University,2024-12-17 11:41:26+00:00,0,0
#jee,Neutral,Lovely Professional University,2023-04-20 12:01:09+00:00,14,0
#jeemains,Neutral,Lovely Professional University,2023-04-20 12:01:09+00:00,14,0
#vedantumath,Neutral,Lovely Professional University,2023-04-20 12:01:09+00:00,14,0
#motionite,Positive,IIT Patna,2025-09-08 07:54:32+00:00,1,0
#private,Neutral,NIT Trichy,2023-03-10 00:52:29+00:00,0,0
#nitkkr,Neutral,NIT Trichy,2023-02-20 16:25:46+00:00,0,0
#nit,Neutral,NIT Trichy,2023-02-20 16:25:27+00:00,0,0
#review,Neutral,NIT Trichy,2023-02-19 05:57:00+00:00,2,0
#nit,Positive,NIT Trichy,2023-02-18 03:51:09+00:00,5,0
#mnnit,Neutral,NIT Warangal,2023-02-13 11:18:38+00:00,0,0
#apnacollege,Positive,NIT Warangal,2023-02-10 16:23:47+00:00,0,0
#dtu,Neutral,IIIT Allahabad,2023-04-23 05:37:49+00:00,1,0
#pes,Positive,IIIT Allahabad,2023-04-10 13:59:11+00:00,0,0
#india__,Positive,IIT Madras,2023-02-15 10:43:19+00:00,1,0
#nit,Neutral,IIT Madras,2023-02-05 10:40:21+00:00,0,0
#boycottmedia,Neutral,BITS Pilani,2023-02-14 18:58:09+00:00,0,0
#bttipilani,Neutral,BITS Pilani,2023-02-14 05:36:22+00:00,0,0
#guwahatii,Neutral,IIT Bombay,2023-04-16 10:37:02+00:00,1,0
#motionite,Positive,IIT Bombay,2024-11-25 11:22:50+00:00,0,0
#haryana,Neutral,IIT Bombay,2024-10-24 19:06:35+00:00,1,0
#shemale,Neutral,IIT Bombay,2024-05-27 18:07:36+00:00,0,0
#dtu,Neutral,NIT Jaipur,2023-04-23 05:39:17+00:00,1,0
#iitgoa,Positive,NIT Patna,2023-07-21 13:12:18+00:00,1,0
#motionite,Positive,IIT (BHU) Varanasi,2025-09-05 07:08:22+00:00,0,0
#motionite,Positive,Delhi University,2025-11-29 06:07:35+00:00,151,0
#loveit,Positive,Symbiosis International University,2025-08-03 09:12:02+00:00,0,0
#iit,Positive,IIT Delhi,2025-11-08 09:11:00+00:00,41,0
#motionite,Positive,IIT Delhi,2025-11-08 09:11:00+00:00,41,0
#motionite,Positive,IIT Roorkee,2025-05-31 11:29:57+00:00,36,0
#motionite,Positive,IIT Kharagpur,2025-01-07 12:20:54+00:00,33,1
#suraj,Neutral,Galgotias University,2025-06-19 18:22:12+00:00,1,0
#motionite,Positive,IIT Mandi,2025-09-12 09:37:55+00:00,9,0
#iit,Positive,IIT Mandi,2025-11-19 11:32:18+00:00,2,1
#jee,Positive,IIT Mandi,2025-11-19 11:32:18+00:00,2,1
#motionite,Positive,IIT Mandi,2025-11-19 11:32:18+00:00,2,1
#sushant_singh_rajput,Neutral,ITM University Raipur,2024-07-13 11:06:40+00:00,56,0
#jahaj,Neutral,IIT Jodhpur,2025-06-13 15:08:49+00:00,0,0
#boringfamily,Negative,LNCT Bhopal,2025-05-18 13:46:43+00:00,30,5
#lovelyproffesionalunversity,Neutral,Lovely Professional University,2023-03-02 04:04:32+00:00,2,0
#lovely,Positive,Lovely Professional University,2023-03-02 04:03:54+00:00,3,0
#be,Negative,LNCT Bhopal,2026-03-28 17:20:50+00:00,0,0
#scammers,Negative,LNCT Bhopal,2026-03-27 06:53:10+00:00,0,0
#jnv,Neutral,Jawaharlal Nehru University,2023-04-10 09:03:55+00:00,43,1
#jnu,Neutral,Jawaharlal Nehru University,2023-04-10 09:03:55+00:00,43,1
#motionite,Negative,IIT Patna,2025-11-11 10:14:28+00:00,11,0
#motionite,Positive,IIT Hyderabad,2025-11-19 11:33:18+00:00,0,0
#motionite,Positive,IIT Hyderabad,2025-11-05 08:30:07+00:00,18,0
#motionite,Positive,IIT Roorkee,2025-09-24 10:48:52+00:00,49,0
#campus,Neutral,Jamia Millia Islamia,2023-04-13 09:24:23+00:00,0,0
#nitwarangal,Neutral,NIT Warangal,2023-09-25 19:45:13+00:00,1,0
#iit,Positive,IIT Ropar,2025-11-29 12:21:07+00:00,13,0
#motionite,Positive,IIT Ropar,2025-11-29 12:21:07+00:00,13,0
#akash,Positive,KIIT University,2025-02-18 17:53:20+00:00,3,0
#shameonindia,Negative,KIIT University,2025-02-19 01:23:18+00:00,0,0
#thedeshbhakt,Positive,KIIT University,2025-02-19 02:24:08+00:00,0,0
#indiachhoro,Positive,KIIT University,2025-02-19 04:06:11+00:00,0,0
#justiceforprakriti,Positive,KIIT University,2025-02-19 04:12:03+00:00,0,0
#kiit,Negative,KIIT University,2025-03-03 03:20:05+00:00,1,0
#say_no_indian_education,Positive,KIIT University,2025-02-26 17:00:47+00:00,0,0
#yo,Positive,KIIT University,2025-02-26 03:25:41+00:00,0,0
#savebangladeshihindus,Neutral,KIIT University,2025-02-25 16:35:40+00:00,0,0
#shameonkiituniversity,Negative,KIIT University,2025-02-25 10:25:04+00:00,1,0
#kiit,Negative,KIIT University,2025-02-25 01:48:55+00:00,1,0
#pm,Neutral,KIIT University,2025-02-24 12:30:04+00:00,0,0
#justicefornepalistudent,Neutral,KIIT University,2025-02-23 13:03:15+00:00,1,0
#justicefornepalistudent,Positive,KIIT University,2025-02-23 04:13:41+00:00,0,0
#ban,Neutral,KIIT University,2025-02-22 16:11:37+00:00,0,0
#justicefor,Neutral,KIIT University,2025-02-22 14:16:01+00:00,0,0
#animal_kabir,Neutral,KIIT University,2025-02-22 04:53:57+00:00,1,0
#justice_4_nepali_sis,Neutral,KIIT University,2025-02-21 19:20:29+00:00,0,0
#justiceforprakrti,Negative,KIIT University,2025-02-21 17:33:15+00:00,0,0
#boycuttkiit,Neutral,KIIT University,2025-02-21 17:30:55+00:00,0,0
#shameonodishagov,Neutral,KIIT University,2025-02-21 17:16:09+00:00,0,0
#justiceforournepalisister,Neutral,KIIT University,2025-02-21 16:44:02+00:00,0,0
#governmentofindia,Negative,KIIT University,2025-02-21 14:43:14+00:00,0,0
#pmnarendramodi,Negative,KIIT University,2025-02-21 14:43:14+00:00,0,0
#govt,Negative,KIIT University,2025-02-21 14:43:14+00:00,0,0
#thedeshbhakt,Positive,KIIT University,2025-02-21 14:27:29+00:00,0,0
#kiitjustic,Positive,KIIT University,2025-02-21 13:43:09+00:00,0,0
#shameonkiituniversity,Negative,KIIT University,2025-02-21 10:41:09+00:00,0,0
#jai,Neutral,KIIT University,2025-02-21 08:46:04+00:00,1,0
#manju,Neutral,KIIT University,2025-02-21 08:43:53+00:00,0,0
#shame,Neutral,KIIT University,2025-02-21 08:43:53+00:00,0,0
#justicforprakriti,Neutral,KIIT University,2025-02-21 06:39:18+00:00,0,0
#prakriti,Positive,KIIT University,2025-02-21 05:32:51+00:00,0,0
#attitude,Neutral,KIIT University,2025-02-21 05:21:23+00:00,0,0
#narendramodi,Neutral,KIIT University,2025-02-21 05:20:23+00:00,0,0
#nepalistudents,Neutral,KIIT University,2025-02-21 05:20:23+00:00,0,0
#mea,Neutral,KIIT University,2025-02-21 05:20:23+00:00,0,0
#fir,Neutral,KIIT University,2025-02-21 04:41:40+00:00,0,0
#noracism,Positive,KIIT University,2025-02-21 03:39:02+00:00,0,0
#justiceforher,Positive,KIIT University,2025-02-21 03:31:05+00:00,0,0
#modi,Neutral,KIIT University,2025-02-21 02:19:24+00:00,0,0
#justiceforprakiti,Positive,KIIT University,2025-02-20 21:54:23+00:00,20,0
#indian_government,Positive,KIIT University,2025-02-20 19:44:58+00:00,0,0
#pm_modi,Positive,KIIT University,2025-02-20 19:44:58+00:00,0,0
#justice_for_prakriti,Positive,KIIT University,2025-02-20 18:55:36+00:00,0,0
#educationofminesty,Neutral,KIIT University,2025-02-20 16:10:47+00:00,1,0
