Hashtag,Frequency
#boycottindia,14
#boycottindians,14
#shame,5
#motionite,4
#justiceforprakirti,3
#justiceforprakiti,3
#blacklist,2
#rip_kiit,2
#nit,2
#modi,2
#jai,2
#justicefornepaligirl,2
#dtu,2
#justiceforprakritii,2
#justicefor,2
#nepalilivesmatter,1
#private,1
#pm,1
#justiceforprakirtilamsal,1
#peaceforallcommunities,1
