NGram,Frequency
trichy trichy,127
first year,117
girl hostel,110
direct admission,109
coming soon,107
home state,106
get cse,100
hostel fee,98
single room,87
cse core,85
get admission,81
computer science,80
aiims delhi,70
data science,70
obc ncl,69
hostel room,68
cse branch,66
fee structure,65
placement kaisa,63
obc category,61
get seat,61
general category,59
coming year,57
soch rha,54
boy hostel,54
admission process,53
fee kitni,53
entrance exam,50
mnnit allahabad,50
got percentile,48
