Hashtag,Frequency
#yestomoraleducation,3
#deshbhakt,3
#kiit,3
#motionite,3
#thedeshbhakt,2
#shameonkiituniversity,2
#shameonindia,2
#supreme,1
#revokenaackiit,1
#nitk,1
#nitksurathkal,1
#we_want_justice,1
#nitsurathkal,1
#plz,1
#pmmodi,1
#pmnarendramodi,1
#politicalpuppet,1
#raisevoiceforviolationinkiit,1
#restinpeaceprakriti,1
#ridiculous,1
