Hashtag,Frequency
#motionite,47
#iit,8
#jee,6
#justice_for_prakriti,5
#thedeshbhakt,3
#prakriti,3
#prakritilamsal,2
#justicefornepalistudent,2
#justiceforprakiti,2
#justiceforprakriti,2
#indiachhoro,2
#motion,2
#akash,2
#apnacollege,2
#justiceforher,2
#noracism,1
#placements,1
#pes,1
#pm_modi,1
#odishagovt,1
