NGram,Frequency
entrance exam,14
hidden charge,13
fee structure,13
fee hostel,13
lpunest exam,13
hostel food,11
hostel mess,10
fill form,10
kaisa rahega,10
hostel fee,9
food fee,9
gunda gardi,9
chapri giri,9
plus two,9
reality check,8
safe give,8
kaisa hota,8
hota specially,8
matlab mujhe,8
matlab padhai,8
