NGram,Frequency
raising voice,786
love nepal,506
brother sister,197
lot love,179
justice prakriti,175
justice nepali,158
nepali brother,125
respect nepal,118
nepali people,117
raise voice,107
indian government,107
get justice,104
indian people,102
prakriti lamsal,94
nepali girl,93
nepal india,89
india nepal,87
india safe,82
voice lot,81
want justice,80
