hashtag,Frequency,Avg_Likes,Avg_Replies,Popularity_Score
#waiting,1,0.0,0.0,0.0
#warden,1,0.0,0.0,0.0
#we_want_justice,1,0.0,0.0,0.0
#wedontforgetwedontforgive,1,0.0,0.0,0.0
#weneedhardaction,1,0.0,0.0,0.0
#wewants,1,0.0,0.0,0.0
#yestomoraleducation,3,0.0,0.0,0.0
#stepdownmoodi,1,0.0,0.0,0.0
#standwithnepaligirl,1,0.0,0.0,0.0
#standwithbangladeshihindus,1,0.0,0.0,0.0
#shame_on_kiit,1,0.0,0.0,0.0
#rgkarrapemurder,1,0.0,0.0,0.0
#ridiculous,1,0.0,0.0,0.0
#rip_kiit,2,0.0,0.0,0.0
#rip_manju_shah,1,0.0,0.0,0.0
#ripprakritilamsal,1,0.0,0.0,0.0
#sameonkiit,1,0.0,0.0,0.0
#savebangladeshihindus,1,0.0,0.0,0.0
#savestudents,1,0.0,0.0,0.0
#say_no_indian_education,1,0.0,0.0,0.0
#scammers,1,0.0,0.0,0.0
#shame,6,0.0,0.0,0.0
#shame_on_kiit_administration,1,0.0,0.0,0.0
#sorotuber,1,0.0,0.0,0.0
#shame_on_odisha,1,0.0,0.0,0.0
#shameful,1,0.0,0.0,0.0
#shamekiit,1,0.0,0.0,0.0
#shameonachyutsamanta,1,0.0,0.0,0.0
#shameonindia,3,0.0,0.0,0.0
#shameonindianuniversityandpoliticscollectively,1,0.0,0.0,0.0
#shameonkiit,1,0.0,0.0,0.0
#shameonodishagov,1,0.0,0.0,0.0
#shemale,1,0.0,0.0,0.0
#snehakushwaha,1,0.0,0.0,0.0
#sorofundedcreator,1,0.0,0.0,0.0
#nepal,1,0.0,0.0,0.0
#justiceforprishashah,1,0.0,0.0,0.0
#needjustice,1,0.0,0.0,0.0
#boycuttkiit,1,0.0,0.0,0.0
#bycotindia,1,0.0,0.0,0.0
#bycotindiastudy,1,0.0,0.0,0.0
#campus,1,0.0,0.0,0.0
#cancelkiit,1,0.0,0.0,0.0
#cancelkiitlicense,1,0.0,0.0,0.0
#changekiitadministration,1,0.0,0.0,0.0
#chumdarang,1,0.0,0.0,0.0
#de,1,0.0,0.0,0.0
#destroyed_india_nepal_ir,1,0.0,0.0,0.0
#discriminationatitspeak,1,0.0,0.0,0.0
#double,1,0.0,0.0,0.0
#dr,1,0.0,0.0,0.0
#editor,2,0.0,0.0,0.0
#egoofourinstitutionsistotallyabsurd,1,0.0,0.0,0.0
#elvishyadav,1,0.0,0.0,0.0
#endreligiousviolence,1,0.0,0.0,0.0
#equalityforbangladeshihindus,1,0.0,0.0,0.0
#exposekiit,1,0.0,0.0,0.0
#fightagainsthatred,1,0.0,0.0,0.0
#fir,1,0.0,0.0,0.0
#fpvdrones,1,0.0,0.0,0.0
#from,1,0.0,0.0,0.0
#fromnepal,1,0.0,0.0,0.0
#give,1,0.0,0.0,0.0
#governmentofindia,1,0.0,0.0,0.0
#bttipilani,1,0.0,0.0,0.0
#boycottmedia,1,0.0,0.0,0.0
#hilarious,1,0.0,0.0,0.0
#boycottkiituniversity,1,0.0,0.0,0.0
#accountability,1,0.0,0.0,0.0
#actnowmodi,1,0.0,0.0,0.0
#advik,1,0.0,0.0,0.0
#annfsu,1,0.0,0.0,0.0
#anonymous,1,0.0,0.0,0.0
#apologylsnotenough,1,0.0,0.0,0.0
#appreciate,1,0.0,0.0,0.0
#arc,1,0.0,0.0,0.0
#arohan,1,0.0,0.0,0.0
#attitude,1,0.0,0.0,0.0
#aurat,1,0.0,0.0,0.0
#backoffindia,1,0.0,0.0,0.0
#ban,1,0.0,0.0,0.0
#banbongafrompuri,1,0.0,0.0,0.0
#band,1,0.0,0.0,0.0
#banerjeebabu,1,0.0,0.0,0.0
#be,1,0.0,0.0,0.0
#beep,1,0.0,0.0,0.0
#bhagwa_love_trap,1,0.0,0.0,0.0
#bishogrue_india,1,0.0,0.0,0.0
#blackbritishkiit,1,0.0,0.0,0.0
#blackhat,1,0.0,0.0,0.0
#blacklist,2,0.0,0.0,0.0
#boycottindianuniversity,1,0.0,1.0,0.0
#boycottkiit,2,0.0,0.0,0.0
#govt,1,0.0,0.0,0.0
#hobby,1,0.0,0.0,0.0
#narendramodi,1,0.0,0.0,0.0
#justicefornikita,1,0.0,0.0,0.0
#justiceforpakritilamsal,1,0.0,0.0,0.0
#justiceforparkirti,1,0.0,0.0,0.0
#justiceforprakreeti,1,0.0,0.0,0.0
#justiceforprakriti,4,0.0,0.0,0.0
#justiceforprakritimalla,1,0.0,0.0,0.0
#justiceforprakrti,1,0.0,0.0,0.0
#justiceforpratiki,1,0.0,0.0,0.0
#911,1,0.0,0.0,0.0
#justiceforprtikilamsal,1,0.0,0.0,0.0
#justiceforstudent,1,0.0,0.0,0.0
#justiceforvictims,1,0.0,0.0,0.0
#justicforprakiti,1,0.0,0.0,0.0
#justicforprakrati,1,0.0,0.0,0.0
#justicforprakritilamsal,1,0.0,0.0,0.0
#justicforprikriti,1,0.0,0.0,0.0
#kiitjustic,1,0.0,0.0,0.0
#kiituniversity,1,0.0,0.0,0.0
#lisencecancel,1,0.0,0.0,0.0
#loveit,1,0.0,0.0,0.0
#manju,1,0.0,0.0,0.0
#manoj,1,0.0,0.0,0.0
#mea,1,0.0,0.0,0.0
#midia,1,0.0,0.0,0.0
#mnnit,1,0.0,0.0,0.0
#modi,2,0.0,0.0,0.0
#justiceforournepalisister,1,0.0,0.0,0.0
#justicefornepalisister,1,0.0,0.0,0.0
#humanrightsforbangladesh,1,0.0,0.0,0.0
#justicefornepaligirl,3,0.0,0.0,0.0
#india,1,0.0,0.0,0.0
#indiachhoro,2,0.0,0.0,0.0
#indian_government,1,0.0,0.0,0.0
#indiangoverment,1,0.0,0.0,0.0
#indias,1,0.0,0.0,0.0
#jahaj,1,0.0,0.0,0.0
#jainepal,1,0.0,0.0,0.0
#justceforprakritilamsal,1,0.0,0.0,0.0
#justic,1,0.0,0.0,0.0
#justic4prakritisis,1,0.0,0.0,0.0
#justice,1,0.0,0.0,0.0
#justice4prakriti,1,0.0,0.0,0.0
#justice_4_nepali_sis,1,0.0,0.0,0.0
#justice_for_all,1,0.0,0.0,0.0
#justice_for_prakriti_lamsal,1,0.0,0.0,0.0
#justice_for_women,1,0.0,0.0,0.0
#justice_must_be_served,1,0.0,0.0,0.0
#justice_prakriti,1,0.0,0.0,0.0
#justice_should_not_be_delayed,1,0.0,0.0,0.0
#justicedelayedisjusticedenied,1,0.0,0.0,0.0
#justicefor,3,0.0,0.0,0.0
#justiceforbangladeshihindus,1,0.0,0.0,0.0
#justiceforher,2,0.0,0.0,0.0
#justicefornepalesestudents,1,0.0,0.0,0.0
#justicefornepali,1,0.0,0.0,0.0
#yo,1,0.0,0.0,0.0
