Metric,Value
Duplicate Rows Removed,97
Duplicate Comment IDs Removed,0
Empty Comments Removed,0
author_name Filled,0
author_channel_id Filled,0
author_profile_url Filled,0
author_thumbnail Filled,0
likes Filled,0
reply_count Filled,0
is_reply Filled,0
