Keyword,Closeness Centrality
year,0.868995633187773
hostel,0.8577586206896551
india,0.8540772532188842
time,0.8396624472573839
good,0.8291666666666667
admission,0.8189300411522634
placement,0.8189300411522634
get,0.8122448979591836
cse,0.796
best,0.7865612648221344
indian,0.77734375
know,0.7624521072796935
want,0.7595419847328244
fee,0.7595419847328244
branch,0.7595419847328244
hota,0.7595419847328244
study,0.7481203007518797
first,0.7425373134328358
people,0.7397769516728625
better,0.7316176470588235
got,0.7316176470588235
tell,0.7289377289377289
think,0.7262773722627737
nepal,0.7236363636363636
rha,0.7184115523465704
new,0.7107142857142857
going,0.7107142857142857
girl,0.7107142857142857
class,0.7107142857142857
country,0.7107142857142857
rank,0.708185053380783
give,0.708185053380783
life,0.7056737588652482
delhi,0.7031802120141343
state,0.7031802120141343
chahiye,0.7031802120141343
abhi,0.7007042253521126
help,0.6982456140350877
mujhe,0.6982456140350877
nepali,0.6982456140350877
brother,0.6933797909407665
thing,0.6909722222222222
come,0.6885813148788927
day,0.6862068965517242
mean,0.6838487972508591
top,0.6815068493150684
case,0.6815068493150684
say,0.6815068493150684
government,0.6815068493150684
clg,0.6815068493150684
ece,0.6791808873720137
exam,0.6768707482993197
odisha,0.6745762711864407
try,0.6722972972972973
bad,0.67003367003367
join,0.67003367003367
lot,0.6677852348993288
hope,0.6677852348993288
friend,0.6655518394648829
right,0.6655518394648829
jayega,0.6655518394648829
log,0.6611295681063123
great,0.6611295681063123
job,0.6611295681063123
bhopal,0.6589403973509934
option,0.6567656765676567
support,0.6546052631578947
matter,0.6546052631578947
information,0.6524590163934426
love,0.6524590163934426
getting,0.6524590163934426
guy,0.6524590163934426
full,0.6503267973856209
seat,0.6503267973856209
choose,0.6503267973856209
free,0.6482084690553745
change,0.6482084690553745
percentile,0.6482084690553745
show,0.6482084690553745
category,0.6482084690553745
bombay,0.6482084690553745
private,0.6461038961038961
way,0.6461038961038961
issue,0.6440129449838188
sakta,0.6440129449838188
milega,0.6440129449838188
boy,0.6440129449838188
problem,0.6440129449838188
sakte,0.6440129449838188
mark,0.6419354838709678
bjp,0.6419354838709678
feel,0.6419354838709678
chance,0.6419354838709678
management,0.6419354838709678
tech,0.639871382636656
check,0.639871382636656
baat,0.639871382636656
science,0.6378205128205128
future,0.6378205128205128
jaipur,0.6357827476038339
kitna,0.6357827476038339
sure,0.6337579617834395
wale,0.6317460317460317
dream,0.6317460317460317
mechanical,0.6317460317460317
govt,0.6317460317460317
worth,0.6317460317460317
medium,0.6317460317460317
work,0.6317460317460317
scholarship,0.6317460317460317
baad,0.629746835443038
actually,0.629746835443038
patna,0.629746835443038
maine,0.6277602523659306
apne,0.6277602523659306
name,0.6277602523659306
sath,0.6277602523659306
question,0.6257861635220126
true,0.6257861635220126
room,0.6257861635220126
lakh,0.6257861635220126
bit,0.6257861635220126
hoti,0.6238244514106583
justice,0.6238244514106583
pas,0.6238244514106583
parent,0.621875
collage,0.621875
sorry,0.621875
mess,0.621875
cutoff,0.6199376947040498
iss,0.6199376947040498
package,0.6199376947040498
mei,0.6180124223602484
btw,0.6180124223602484
apply,0.6180124223602484
online,0.6180124223602484
general,0.6160990712074303
form,0.6160990712074303
look,0.6160990712074303
wala,0.6141975308641975
research,0.6141975308641975
rhe,0.6141975308641975
place,0.6123076923076923
start,0.6123076923076923
khud,0.6123076923076923
idea,0.6123076923076923
shame,0.6104294478527608
system,0.6104294478527608
use,0.6104294478527608
pata,0.6104294478527608
number,0.6085626911314985
nice,0.6085626911314985
kaisa,0.6067073170731707
bata,0.6067073170731707
gya,0.6067073170731707
karne,0.6067073170731707
detail,0.6067073170731707
coming,0.6067073170731707
hello,0.6048632218844985
itna,0.603030303030303
tak,0.603030303030303
action,0.603030303030303
jyada,0.603030303030303
baki,0.603030303030303
food,0.603030303030303
score,0.6012084592145015
etc,0.6012084592145015
rhi,0.6012084592145015
part,0.6012084592145015
hote,0.5993975903614458
voice,0.5993975903614458
month,0.5993975903614458
big,0.5993975903614458
world,0.5975975975975976
aisa,0.5975975975975976
company,0.5975975975975976
respect,0.5975975975975976
available,0.5975975975975976
type,0.5958083832335329
incident,0.5958083832335329
person,0.5940298507462687
english,0.5940298507462687
desh,0.5905044510385756
money,0.5905044510385756
news,0.5905044510385756
political,0.5887573964497042
nepalese,0.5887573964497042
hindu,0.5887573964497042
bare,0.5870206489675516
saal,0.5852941176470589
level,0.5852941176470589
jab,0.5818713450292398
modi,0.5818713450292398
aise,0.5784883720930233
paisa,0.5784883720930233
din,0.5751445086705202
naam,0.5751445086705202
technology,0.5669515669515669
called,0.5669515669515669
में,0.5128865979381443
