Keyword,TFIDF Score
ranking,0.04879165927918683
top,0.02488830625410873
placement,0.024654850264014986
hyderabad,0.02341049731618618
rank,0.022950881707454112
bit,0.02249917430320874
allahabad,0.021590994093325676
better,0.019719223518307762
best,0.019105591409385007
cse,0.017415282309683228
delhi,0.017286962274874727
deserve,0.014687189842651886
pec,0.014675492512786808
good,0.014346089211112618
package,0.014106856558380407
vellore,0.013908238930105413
fee,0.013361282790224919
deserves,0.012992001077340989
patna,0.012473363035558472
jamshedpur,0.01223045511318915
coep,0.012229996244489626
clg,0.012063496936820073
private,0.011557191858948298
get,0.011368345351830123
got,0.011330500556948597
rvce,0.01003981754859647
bombay,0.009976797250245832
jadavpur,0.0093832597726996
lpa,0.009359109924831775
chahiye,0.009349636183362816
research,0.00905347022857043
lakh,0.008928161497949108
bangalore,0.008645069958975245
year,0.008541257453987617
admission,0.00831587708798023
information,0.008240367209132555
pune,0.008139893442708643
madras,0.008056507515250387
collage,0.007883853223674213
vjti,0.007881988909118638
jntu,0.0077986365610051255
branch,0.007699625238902236
hota,0.007639350792760245
rha,0.007511557248661383
bit mesra,0.007238455419801991
mesra,0.007238455419801991
hyd,0.006953344541016882
deserves better,0.006880347813582189
iits,0.0068795754877819274
average,0.006873626451936659
