Keyword,TFIDF Score
best,0.1018884734946734
love,0.027393523431819763
proud,0.021722698589611934
admission,0.019723434642776223
mujhe,0.01968446638749509
good,0.01902980390367894
number,0.016320803972049446
jmi,0.016164041766489314
hota,0.015764775318929905
great,0.01511335012594458
help,0.013950877296494
entrance,0.01381923995797246
exam,0.013355316369597815
india,0.013345859157014636
allahabad,0.012414397368227068
baat,0.012106066124857089
alig,0.011474733005555963
bhuian,0.011405540539449626
awesome,0.011335012594458436
chahiye,0.011256912926967694
time,0.011087793843379047
wale,0.011083032576539045
better,0.010692203628000605
muslim,0.01032149298485963
fee,0.009894795876307523
hindu,0.009550384043702913
rha,0.009418180225812452
sanjeevkumar,0.009295939509497309
study,0.00901057210273025
form,0.008725582544345136
banaras,0.008397727272446118
subject,0.008249448153328138
tell,0.008061206239523304
hello,0.008057243162784913
log,0.008003556792088709
aligarh,0.007790502842084165
science,0.007771435084354378
hall,0.007556675062972291
get,0.007349869562485336
dear,0.007198223982216282
नह,0.007175899400954564
selection,0.006904681450543413
want,0.006892444530726713
apply,0.00672099483480584
dena,0.006703563676701357
hoti,0.006557756175364572
class,0.0064358595192227815
jamia,0.006297229219143576
entrance exam,0.0061265683307723225
hote,0.006120720697198617
