Keyword,TFIDF Score
bihar,0.03348149153504885
patna,0.014936889326273815
रह,0.012957003652146333
नह,0.01241558195844391
good,0.01236458460090602
news,0.011827122170120096
log,0.011244979896150606
pinch,0.011207644282766289
desh,0.010804328399224041
bjp,0.010386587514163114
vote,0.00961274952403129
baat,0.009328359573456702
reporting,0.009141780163703053
sarkar,0.008974875163705624
great,0.008756283158713785
chahiye,0.008615866155843272
rha,0.008563324264495758
work,0.008520874557232138
haal,0.008219450662202293
कर,0.007937779741375365
news pinch,0.00785921322686329
वर,0.00752262256884937
सरक,0.007381761735472603
बह,0.0073424015762505075
paisa,0.007332242852726292
rhe,0.007257940245610622
modi,0.007231065470470502
system,0.007208830992119043
time,0.007105409414898264
neta,0.0070972143879626855
government,0.006981813593530846
baar,0.006841860707763091
india,0.006832271789169242
best,0.006801220718733572
kaam,0.0066310254724383216
hota,0.006527057610205013
journalism,0.006525742619813206
salute,0.006394742294588584
job,0.006315240053333959
kabhi,0.006224429899671281
बन,0.006042006596056508
पत,0.006034615625332128
yahi,0.0060280743813735235
gya,0.005997313380285977
magadh,0.005944769097812092
wale,0.0059113108615890765
यह,0.005844324337911276
bar,0.005744979866379851
chor,0.005736811286393653
रक,0.005641679109409447
