Keyword,TFIDF Score
best,0.03154510500262731
preference,0.02381619384203942
list,0.022883358211975312
ranking,0.01920621225576767
hons,0.017692094671646674
preference list,0.016846722514157985
admission,0.016555985830372114
get,0.01595309932709573
score,0.01583892999845599
bcom,0.015795346692690584
good,0.01543047992118165
category,0.015141759818127695
mujhe,0.014474210090360156
better,0.014228020247115118
hindu,0.01393656849457963
dream,0.01379487950000659
delhi,0.013749699283198658
science,0.012970944061790947
srcc,0.012270207374183339
help,0.012171643306094182
got,0.012121529597105172
exam,0.011773053162770478
mark,0.011408478451666466
subject,0.011003552746842905
phase,0.010245463456229589
rha,0.00999521086883565
south,0.009721214979456239
program,0.00971266149519595
math,0.009699219562015403
rank,0.009337025999680093
arsd,0.009289522719495796
top,0.009256563959371888
commerce,0.009173052465613403
hota,0.008986019277394208
jayega,0.008806073259884823
bba,0.00880556698845328
english,0.008652846477649197
tell,0.008588814581886435
obc,0.008511129616784522
year,0.008490625616541353
north,0.008420404687037773
language,0.008406598039635612
gat,0.008160716132291263
great,0.007866441032343192
fill,0.007776777597130321
bcom hons,0.0076249309622971875
honour,0.007086186422064132
class,0.006992958402767407
sheet,0.006954209215578556
want,0.006772114023157279
