Keyword,TFIDF Score
cut,0.02461187430321608
problem,0.0218230823206635
bad,0.015792540173614606
bekar,0.015395947604067756
year,0.014654844443997379
placement,0.014317592339598544
ban,0.014238076560213989
admission,0.01374578513219799
good,0.013186417871684241
ranking,0.012890932515844018
fee,0.012633301719496205
hostel,0.012188221934648332
rha,0.011092262476488573
bihar,0.011057523964733756
get,0.010810065698781452
worst,0.010562159626404598
mess,0.010134552201731713
rank,0.009712230757435412
kitna,0.009498614949969097
doubt,0.009056489055226302
hota,0.00901251997832301
exam,0.008957098140029342
wrong,0.008921769631174263
mark,0.008640931500880356
scam,0.00851820893471509
fake,0.008232974992383605
jayega,0.008145271308844466
ghatiya,0.008072745170462275
sorry,0.00799852553397443
ragging,0.0076385050399628476
india,0.007496586368687655
mujhe,0.0074370158392979765
low,0.007433916623606125
state,0.007357112816195459
apply,0.007305627889228974
drop,0.007300643450083873
log,0.00730050810687216
time,0.0070484404546508825
idea,0.0070158518879864405
waste,0.0069790509794439605
know,0.006830181010742594
gya,0.006811149465477186
kerala,0.006434719032588897
government,0.00625471115957944
confused,0.006245443710492382
cse,0.006126630336956916
paisa,0.005880024694643917
kia,0.005831866149653366
got,0.0058254252135696944
sure,0.0058176588048369825
