Keyword,TFIDF Score
sikkim,0.07138964915592423
hostel,0.042290304405738
admission,0.035200286496372725
laxcrazzy,0.023411443166450097
get,0.02050075728135166
tell,0.020136047353853583
science,0.019468175699695993
know,0.01773506201012066
english,0.016739877659199112
year,0.016536117508619583
fee,0.016460667201127783
kitna,0.01582088843494884
psychology,0.015698205521077264
exam,0.015434961970747238
help,0.01420493331971765
good,0.014202363746146134
want,0.013924568299594141
apply,0.013905400304041218
registration,0.012481157159864684
available,0.012082641689083778
political,0.011763177732639454
political science,0.011763177732639454
information,0.011425389270243646
contact,0.011284142322481537
shift,0.011085919306068491
cut,0.010933010743118728
gangtok,0.010930239058380057
new,0.010876220448095959
got,0.01072970559095687
hota,0.010218554379151347
hello,0.009655314670570896
room,0.00959616988356058
sauravjyoti,0.009523292435400128
placement,0.009505503796325986
mark,0.0094980944708939
dept,0.009407619800197846
list,0.009172586428376076
hindi,0.008668028285572251
form,0.00865367192776894
nursing,0.008635923605433268
horticulture,0.008439947132447296
website,0.008406268948684438
score,0.008315379230262812
insta,0.0082885358710807
brother,0.008243708530739443
give,0.008017047443492626
document,0.007910042475663844
idea,0.00773728645240674
hey,0.0074229521254105466
start,0.007253627641869296
