,likes,reply_count,comment_length,word_count,emoji_count,hashtag_count,mention_count
likes,1.0,0.3724138575618412,0.008855649190502845,0.00809373148693225,0.040250520078281664,-0.0017554221246866438,-0.016415878824950075
reply_count,0.3724138575618412,1.0,0.03289312550205627,0.03697717898036354,0.007700815484683423,-0.001962528418586906,-0.05732866890574885
comment_length,0.008855649190502845,0.03289312550205627,1.0,0.9857941800811331,0.07471346256405068,0.018637195931130675,0.08155000115822024
word_count,0.00809373148693225,0.03697717898036354,0.9857941800811331,1.0,0.07732180837004095,0.010128685245970515,0.06137188082802169
emoji_count,0.040250520078281664,0.007700815484683423,0.07471346256405068,0.07732180837004095,1.0,0.01511696220158836,-0.05293795342851673
hashtag_count,-0.0017554221246866438,-0.001962528418586906,0.018637195931130675,0.010128685245970515,0.01511696220158836,1.0,-0.003380194625243808
mention_count,-0.016415878824950075,-0.05732866890574885,0.08155000115822024,0.06137188082802169,-0.05293795342851673,-0.003380194625243808,1.0
