Keyword,TFIDF Score
jadavpur,0.05584453692701027
ragging,0.0532997971504117
bengal,0.01912811328039307
year,0.01898223032453493
hota,0.017177386460468024
admission,0.01693228587600281
hostel,0.015351645924726988
placement,0.014833750473998215
rank,0.013707873587503288
west,0.012765012523179757
branch,0.012510164295218843
west bengal,0.012282004367128051
best,0.01163361438431495
state,0.011549244930869366
proud,0.011148331325684106
get,0.011115213062228757
know,0.011105028535538295
bengali,0.010316811041740332
india,0.01008573019207988
kolkata,0.009964990025190959
better,0.009857348490046765
cse,0.00901075104239877
iits,0.008973431975544321
chance,0.008430176332918071
lpa,0.008213664464753726
wbjee,0.008164105612275473
good,0.007896213458864217
seat,0.007214922317482291
politics,0.0069898934261401246
want,0.006867945899916749
dijiye,0.00677124426015188
package,0.006689779374920091
hoti,0.006632047496126586
political,0.006603577548760429
true,0.006475630045302187
great,0.0064705657637613824
top,0.006378793216188321
safe,0.006376649966508042
tell,0.006359286415353916
bihar,0.0061829067656447596
rourkela,0.006131038666920067
people,0.005858974342787056
join,0.0057699439969642625
pride,0.005751559652386251
average,0.005748848895294117
exam,0.005631920637138919
bare,0.005553428822860753
give,0.005529411871295151
dream,0.005499087602068167
senior,0.005436426851226089
