Keyword,TFIDF Score
madras,0.033281412304184375
bombay,0.02495850846262028
nice,0.019983993470407125
kanpur,0.017340526512939238
delhi,0.014652147234823904
dream,0.01336670556299833
best,0.012615107668811042
kharagpur,0.011364022671160856
dance,0.010712334355857778
guwahati,0.010122333801226591
hostel,0.009182149255926409
year,0.009173539944974444
good,0.008856193695555101
chennai,0.008441656441577882
trichy,0.008397243035985127
anna,0.00831899072434955
get,0.008210597070034183
technology,0.008085509356636017
thnks,0.007708479327259983
lpa,0.0076453667356567445
bangalore,0.006830314890592582
branch,0.006634268678404587
pune,0.006593951140571361
roorkee,0.006375431859183661
medical,0.006316312079922727
exam,0.006219644755434131
want,0.005915458890626408
ponga,0.00582228326230848
bhopal,0.005815385123033189
podunga,0.005745243978727631
package,0.005725536648091242
science,0.00568710797246664
vanga,0.005646110917851701
placement,0.005624010471361903
come,0.0056144729209177836
fee,0.0055607390740384675
india,0.005504589917561049
hyderabad,0.005457287718011213
join,0.0053826527007925715
beautiful,0.005326569632311129
coimbatore,0.005201160287822869
hobby,0.005192154857289576
coming,0.0051808386994572015
online,0.0048886501551804115
patna,0.004782984759078201
tell,0.0046715999326652794
boy,0.004670615293712821
love,0.0046133780420841595
vellore,0.004500280958269644
collage,0.004434393919344436
