comment_hour,count
0,277
1,470
2,868
3,1060
4,1311
5,1530
6,1634
7,1717
8,1554
9,1459
10,1493
11,1413
12,1399
13,1512
14,1838
15,2022
16,2007
17,1780
18,1115
19,779
20,364
21,210
22,128
23,118
