Keyword,TFIDF Score
admission,0.015815222313714964
good,0.014067945601081802
best,0.013741058824417266
cse,0.01059299996657836
placement,0.01049857261305858
bihar,0.009900542648663857
rank,0.009751165469610195
year,0.009695561880411029
get,0.009341170029026699
fee,0.008598123569147489
hota,0.008586104505374895
exam,0.008493979975988449
hostel,0.007797968999942726
category,0.007642224850385486
ranking,0.007501651281608509
jayega,0.0071506190788835095
better,0.007068651361846047
mark,0.006663039016096971
rha,0.006494445961173513
mujhe,0.006252590621717276
science,0.0061473147810645066
tell,0.006059855718434558
top,0.005981583877260709
apply,0.005835652644798553
kitna,0.005717463703403247
chahiye,0.005681864243408745
branch,0.005561356533854244
chance,0.00551433434938951
got,0.005433882056631561
list,0.0051704065998958324
obc,0.005132431950587585
information,0.005025188346366321
cutoff,0.004973877356697397
help,0.004957038951151779
kaisa,0.00486292341623796
clg,0.0048489750613668866
time,0.004841187139609936
know,0.004800256105424306
llb,0.004672052303523611
class,0.004626813562284416
form,0.0046135950364851325
want,0.004599535609053029
india,0.0045417491710705435
gya,0.0045081023975148005
cusb,0.004359454648176289
great,0.004321558461650989
milega,0.004282266183691827
delhi,0.004204355925665064
seat,0.004194673014275074
nice,0.004123760706465007
