Keyword,TFIDF Score
best,0.037710749652974364
good,0.03506855700922557
better,0.01862133816085179
top,0.015886162574964974
admission,0.015869364146663442
chance,0.014503475250103077
help,0.013313544956443189
tell,0.01262237396140528
great,0.012278254049730047
nice,0.012044209931501694
cse,0.011785767156089689
noted,0.01176373990624361
placement,0.011588968990768589
want,0.0113011733312494
get,0.011182152087942203
information,0.009977635986280525
number,0.009296623565168189
join,0.00928192420972007
rank,0.008967693451317262
year,0.008916021482587272
exam,0.008536091805785058
ranking,0.007971752160143593
bihar,0.007931849648910203
hostel,0.007471330914909855
proud,0.007317210489488385
science,0.007136682370354783
fee,0.00702699718108497
list,0.006950798596384834
mujhe,0.006791621035137172
category,0.006784164944986319
love,0.00667644057288593
mark,0.0065803625241450045
know,0.006514929084751437
sure,0.0064443622842728305
branch,0.006431166221221784
hota,0.006258817639167356
got,0.006188707899719268
dream,0.0061083077203087244
india,0.006072354827690983
free,0.00597427092131401
technology,0.005852786178190218
work,0.0057747900656000585
time,0.005678222483370595
apply,0.0056334563732945014
class,0.005619954676622456
jayega,0.005586322687471126
worth,0.005391809651914204
chahiye,0.005300791992622211
job,0.005247993156371112
safe,0.005000392878622374
