Keyword,TFIDF Score
soon,0.04508175800560933
trichy,0.029421441158840805
rourkela,0.019934331055593578
best,0.01872576589807532
year,0.013858441437415313
coming,0.013581120776435756
get,0.011746642282937526
allahabad,0.011654541294744605
itsmevinit,0.01144096511711238
good,0.011152809354907674
jaipur,0.010782450967187305
placement,0.010684408509860554
congratulation,0.010148636218200783
bombay,0.009687895686957642
patna,0.00965589900680705
dream,0.009588270899318806
delhi,0.00906393043337879
part,0.008851679821587747
branch,0.008832983669419116
hyderabad,0.008759623752351373
kanpur,0.008721315750364113
cse,0.008559941886405265
bhopal,0.0077298439358512066
durgapur,0.007674850761510657
guwahati,0.007255786837120384
hostel,0.007038794350784551
nice,0.007004538064018642
warangal,0.006960466196813372
madras,0.006924442773464052
jadavpur,0.0068950278199592895
top,0.006876925613053855
rank,0.006749337722596564
bit,0.0067455844114345225
nagpur,0.006681433602499295
surathkal,0.00635023212140162
got,0.005929537607826084
silchar,0.0058281006683690035
vellore,0.00562541464932122
mess,0.005514425508816551
kharagpur,0.005380856973462393
tell,0.005372441029107702
percentile,0.005347663596290633
technology,0.005337999630607231
try,0.0051906155595490815
roorkee,0.005187073548783143
coming soon,0.005067619344189457
come,0.0049013571071039016
kurukshetra,0.004898595334888261
tamil,0.004871423961741855
raipur,0.004834463337627298
