Keyword,TFIDF Score
shame,0.03033752995032605
india,0.02893305109158525
indian,0.02174038969889551
mess,0.019569218972552392
sorry,0.01754261493827221
country,0.01607745560810779
people,0.01512238208101864
hostel,0.014329781139126797
bad,0.013256518845529395
problem,0.012917473291022082
placement,0.012514589185050065
good,0.0121247869368266
nepal,0.012097975425891434
year,0.011788683600267146
worst,0.011684446422388112
nepali,0.011632761437969453
get,0.01103441562306021
bjp,0.01072359838820552
fee,0.010419520473891733
admission,0.009982701731764038
odisha,0.00973714004724739
sad,0.008931094199152584
ban,0.008500432452746839
ashamed,0.00847667275730897
doubt,0.008408911284709214
time,0.008029567923706118
girl,0.007899647125308072
bekar,0.007887093762237332
cut,0.0078864993872643
block,0.007870558652521535
know,0.007606251296239303
shameful,0.007590378289830562
hate,0.0074585338775173425
government,0.0072262202028596
case,0.00721892873364464
day,0.007019446324108173
hota,0.006872513456991547
drop,0.006564730353663513
cse,0.0065616277006027394
think,0.006509283451541965
thing,0.006496133197222287
want,0.006241139446161903
state,0.006221282254278931
fake,0.0061437444437826925
nepalese,0.0060521899123125
wrong,0.006027367351275295
action,0.0059496593930308895
hard,0.005941037975789709
rha,0.005917736282799789
incident,0.005895154433761101
