sentiment,1,2,3,4,5,6,7,8,9,10
Negative,149,709,189,124,273,405,610,294,47,962
Neutral,1382,5671,1718,1004,2125,3070,5960,2399,346,8876
Positive,812,3233,891,546,1132,1732,3098,1402,176,4665
