Keyword,TFIDF Score
mess,0.03355132983839652
rourkela,0.025858433198897395
jaipur,0.022972408432208206
warangal,0.021759605919435668
trichy,0.021645636333941627
bhopal,0.018214210061672623
allahabad,0.017116448911850803
good,0.013083795297657803
hostel,0.013054500339603299
year,0.012711952661480152
patna,0.012571034851897884
durgapur,0.012360140327917195
delhi,0.012334591812358174
jamshedpur,0.012033579772003904
food,0.011632006429119927
best,0.011251959971744347
nagpur,0.010164389403609496
surathkal,0.010134073939733867
placement,0.0084743849638002
raipur,0.008286750697697421
manner,0.008093092693904947
better,0.007976887627754479
get,0.007901753947391635
kurukshetra,0.00784224808825058
silchar,0.007714863262089275
hamirpur,0.007669288934583259
hota,0.007540222978930567
branch,0.0074424158747389635
cse,0.007427712361876038
kanpur,0.007257888765339393
mnnit,0.006971564859492377
management,0.006940913133516121
indian,0.006176434765115877
fee,0.006036406992973797
know,0.006028186927169808
got,0.005880117466584801
people,0.005862722330727129
nice,0.0057206589749480615
anna,0.005543955519122619
worst,0.0055322614869268314
suratkal,0.0053502467371983
stay,0.0052945003100616644
prayagraj,0.0051573008384716975
life,0.005008453905710483
agartala,0.00500751126690035
day,0.004954577264849717
tell,0.004884034270498305
india,0.004716179985247415
mechanical,0.004668917967794825
clg,0.004644452566959417
