published_at,Comments,Month,Rolling_Average,Time,Trend
2023-01-31 00:00:00+00:00,6,Jan-2023,6.0,0,128.07272727272735
2023-02-28 00:00:00+00:00,323,Feb-2023,164.5,1,139.81247357293876
2023-03-31 00:00:00+00:00,110,Mar-2023,146.33333333333334,2,151.55221987315016
2023-04-30 00:00:00+00:00,109,Apr-2023,180.66666666666666,3,163.29196617336157
2023-05-31 00:00:00+00:00,220,May-2023,146.33333333333334,4,175.031712473573
2023-06-30 00:00:00+00:00,1265,Jun-2023,531.3333333333334,5,186.77145877378442
2023-07-31 00:00:00+00:00,365,Jul-2023,616.6666666666666,6,198.51120507399582
2023-08-31 00:00:00+00:00,579,Aug-2023,736.3333333333334,7,210.25095137420726
2023-09-30 00:00:00+00:00,116,Sep-2023,353.3333333333333,8,221.99069767441864
2023-10-31 00:00:00+00:00,54,Oct-2023,249.66666666666666,9,233.73044397463008
2023-11-30 00:00:00+00:00,60,Nov-2023,76.66666666666667,10,245.47019027484149
2023-12-31 00:00:00+00:00,46,Dec-2023,53.333333333333336,11,257.2099365750529
2024-01-31 00:00:00+00:00,54,Jan-2024,53.333333333333336,12,268.94968287526433
2024-02-29 00:00:00+00:00,57,Feb-2024,52.333333333333336,13,280.6894291754757
2024-03-31 00:00:00+00:00,94,Mar-2024,68.33333333333333,14,292.42917547568715
2024-04-30 00:00:00+00:00,193,Apr-2024,114.66666666666667,15,304.1689217758985
2024-05-31 00:00:00+00:00,202,May-2024,163.0,16,315.90866807610996
2024-06-30 00:00:00+00:00,170,Jun-2024,188.33333333333334,17,327.6484143763214
2024-07-31 00:00:00+00:00,147,Jul-2024,173.0,18,339.3881606765328
2024-08-31 00:00:00+00:00,455,Aug-2024,257.3333333333333,19,351.1279069767442
2024-09-30 00:00:00+00:00,149,Sep-2024,250.33333333333334,20,362.8676532769556
2024-10-31 00:00:00+00:00,56,Oct-2024,220.0,21,374.60739957716703
2024-11-30 00:00:00+00:00,42,Nov-2024,82.33333333333333,22,386.34714587737847
2024-12-31 00:00:00+00:00,36,Dec-2024,44.666666666666664,23,398.0868921775899
2025-01-31 00:00:00+00:00,80,Jan-2025,52.666666666666664,24,409.8266384778012
2025-02-28 00:00:00+00:00,87,Feb-2025,67.66666666666667,25,421.56638477801266
2025-03-31 00:00:00+00:00,537,Mar-2025,234.66666666666666,26,433.3061310782241
2025-04-30 00:00:00+00:00,264,Apr-2025,296.0,27,445.04587737843553
2025-05-31 00:00:00+00:00,349,May-2025,383.3333333333333,28,456.78562367864697
2025-06-30 00:00:00+00:00,1024,Jun-2025,545.6666666666666,29,468.5253699788583
2025-07-31 00:00:00+00:00,601,Jul-2025,658.0,30,480.26511627906973
2025-08-31 00:00:00+00:00,198,Aug-2025,607.6666666666666,31,492.00486257928117
2025-09-30 00:00:00+00:00,3840,Sep-2025,1546.3333333333333,32,503.7446088794926
2025-10-31 00:00:00+00:00,853,Oct-2025,1630.3333333333333,33,515.484355179704
2025-11-30 00:00:00+00:00,329,Nov-2025,1674.0,34,527.2241014799154
2025-12-31 00:00:00+00:00,138,Dec-2025,440.0,35,538.9638477801268
2026-01-31 00:00:00+00:00,232,Jan-2026,233.0,36,550.7035940803382
2026-02-28 00:00:00+00:00,159,Feb-2026,176.33333333333334,37,562.4433403805497
2026-03-31 00:00:00+00:00,331,Mar-2026,240.66666666666666,38,574.1830866807611
2026-04-30 00:00:00+00:00,387,Apr-2026,292.3333333333333,39,585.9228329809724
2026-05-31 00:00:00+00:00,638,May-2026,452.0,40,597.6625792811839
2026-06-30 00:00:00+00:00,857,Jun-2026,627.3333333333334,41,609.4023255813953
2026-07-31 00:00:00+00:00,910,Jul-2026,801.6666666666666,42,621.1420718816067
2026-08-31 00:00:00+00:00,19,Aug-2026,595.3333333333334,43,632.8818181818182
