published_at,Comments,Month,Rolling_Average,Time,Trend
2023-06-30 00:00:00+00:00,1265,Jun-2023,531.3333333333334,5,186.77145877378442
2025-06-30 00:00:00+00:00,1024,Jun-2025,545.6666666666666,29,468.5253699788583
2025-09-30 00:00:00+00:00,3840,Sep-2025,1546.3333333333333,32,503.7446088794926
