Keyword,Degree Centrality
admission,0.7135678391959799
year,0.5829145728643216
mujhe,0.5276381909547738
hota,0.5175879396984925
bihar,0.5125628140703518
placement,0.49748743718592964
exam,0.47738693467336685
get,0.4623115577889447
hostel,0.4623115577889447
good,0.4472361809045226
chahiye,0.4472361809045226
fee,0.44221105527638194
cse,0.44221105527638194
best,0.4371859296482412
rha,0.4221105527638191
rank,0.4170854271356784
jayega,0.4170854271356784
time,0.4170854271356784
cusb,0.3869346733668342
mark,0.3869346733668342
top,0.38190954773869346
better,0.38190954773869346
branch,0.38190954773869346
science,0.37185929648241206
cutoff,0.36180904522613067
help,0.36180904522613067
category,0.35678391959798994
chance,0.35678391959798994
gya,0.35175879396984927
sakta,0.35175879396984927
milega,0.34673366834170855
llb,0.3417085427135678
state,0.3417085427135678
baat,0.3316582914572864
want,0.3316582914572864
tell,0.32663316582914576
apply,0.32663316582914576
class,0.32663316582914576
tak,0.32160804020100503
agriculture,0.32160804020100503
maine,0.32160804020100503
ranking,0.32160804020100503
score,0.3165829145728643
clg,0.3165829145728643
list,0.31155778894472363
abhi,0.31155778894472363
know,0.3065326633165829
rhe,0.3065326633165829
cut,0.30150753768844224
obc,0.30150753768844224
registration,0.30150753768844224
kitna,0.2964824120603015
log,0.2964824120603015
form,0.2914572864321608
seat,0.2914572864321608
india,0.2864321608040201
sikkim,0.2763819095477387
baad,0.2763819095477387
delhi,0.2763819095477387
wale,0.2763819095477387
give,0.271356783919598
got,0.271356783919598
option,0.2663316582914573
number,0.2663316582914573
percentile,0.2663316582914573
sakte,0.2663316582914573
subject,0.2613065326633166
skta,0.2613065326633166
government,0.2562814070351759
english,0.2562814070351759
problem,0.2562814070351759
iss,0.2562814070351759
bed,0.25125628140703515
kitne,0.25125628140703515
private,0.24623115577889448
kaisa,0.24623115577889448
general,0.24120603015075376
round,0.24120603015075376
hoti,0.24120603015075376
patna,0.24120603015075376
possible,0.24120603015075376
bata,0.23618090452261306
result,0.23618090452261306
study,0.23618090452261306
information,0.23115577889447236
first,0.23115577889447236
addmission,0.23115577889447236
paisa,0.23115577889447236
baar,0.22613065326633167
jaye,0.22110552763819097
online,0.22110552763819097
saal,0.22110552763819097
pas,0.21608040201005024
name,0.21608040201005024
scholarship,0.21608040201005024
ece,0.21608040201005024
fill,0.21608040201005024
central,0.21608040201005024
itna,0.21608040201005024
join,0.21105527638190955
batao,0.21105527638190955
website,0.21105527638190955
life,0.20603015075376885
govt,0.20603015075376885
choose,0.20603015075376885
agr,0.20603015075376885
program,0.20603015075376885
usme,0.20100502512562815
lakh,0.20100502512562815
jaise,0.20100502512562815
check,0.20100502512562815
kuchh,0.19597989949748745
start,0.19597989949748745
har,0.19597989949748745
question,0.19597989949748745
bta,0.19597989949748745
dono,0.19597989949748745
apne,0.19597989949748745
baki,0.19095477386934673
detail,0.19095477386934673
aapko,0.19095477386934673
collage,0.19095477386934673
jab,0.19095477386934673
yahi,0.19095477386934673
aisa,0.19095477386934673
bad,0.19095477386934673
pata,0.19095477386934673
available,0.18592964824120603
aise,0.18592964824120603
bar,0.18592964824120603
bare,0.18592964824120603
aata,0.18592964824120603
system,0.18592964824120603
karne,0.18090452261306533
new,0.18090452261306533
think,0.18090452261306533
thik,0.18090452261306533
entrance,0.18090452261306533
research,0.18090452261306533
sath,0.18090452261306533
jadavpur,0.18090452261306533
date,0.18090452261306533
hons,0.17587939698492464
sare,0.17587939698492464
kaam,0.17587939698492464
job,0.17587939698492464
gat,0.17587939698492464
contact,0.17587939698492464
wala,0.17587939698492464
day,0.17587939698492464
come,0.1708542713567839
din,0.1708542713567839
counselling,0.1708542713567839
open,0.1708542713567839
management,0.1708542713567839
show,0.1708542713567839
free,0.1658291457286432
pta,0.1658291457286432
bit,0.1658291457286432
rhi,0.1658291457286432
bana,0.16080402010050251
month,0.16080402010050251
naam,0.15577889447236182
apna,0.15577889447236182
hote,0.15577889447236182
padhai,0.15577889447236182
say,0.15577889447236182
jyada,0.15577889447236182
provide,0.15577889447236182
vote,0.15075376884422112
work,0.15075376884422112
thing,0.15075376884422112
kyuki,0.15075376884422112
package,0.15075376884422112
desh,0.1457286432160804
khud,0.1457286432160804
tech,0.1407035175879397
sarkar,0.1407035175879397
people,0.1407035175879397
dena,0.1407035175879397
ragging,0.1407035175879397
level,0.1407035175879397
mean,0.1407035175879397
certificate,0.1306532663316583
use,0.1306532663316583
technology,0.1306532663316583
news,0.1306532663316583
kabhi,0.12060301507537688
kerala,0.12060301507537688
bjp,0.11557788944723618
etc,0.09547738693467336
issue,0.09045226130653267
बिहार,0.05527638190954774
में,0.04522613065326633
नहीं,0.035175879396984924
रहा,0.035175879396984924
लिए,0.035175879396984924
है।,0.02512562814070352
सरकार,0.02512562814070352
हैं,0.020100502512562814
