Keyword,Closeness Centrality
admission,0.7653846153846153
year,0.6982456140350877
mujhe,0.67003367003367
bihar,0.67003367003367
hota,0.6677852348993288
placement,0.6546052631578947
exam,0.6546052631578947
hostel,0.6482084690553745
get,0.6419354838709678
cse,0.6357827476038339
chahiye,0.6357827476038339
good,0.6337579617834395
fee,0.6337579617834395
best,0.6317460317460317
time,0.6317460317460317
rha,0.6277602523659306
rank,0.6238244514106583
jayega,0.621875
mark,0.6123076923076923
better,0.6104294478527608
top,0.6085626911314985
branch,0.6085626911314985
cusb,0.6067073170731707
cutoff,0.6048632218844985
science,0.6048632218844985
gya,0.6012084592145015
help,0.6012084592145015
category,0.6012084592145015
chance,0.5993975903614458
llb,0.5975975975975976
state,0.5958083832335329
milega,0.5958083832335329
sakta,0.5940298507462687
want,0.5922619047619048
apply,0.5922619047619048
class,0.5922619047619048
baat,0.5905044510385756
tell,0.5905044510385756
maine,0.5887573964497042
agriculture,0.5887573964497042
tak,0.5887573964497042
score,0.5870206489675516
obc,0.5870206489675516
ranking,0.5852941176470589
rhe,0.5852941176470589
abhi,0.5852941176470589
clg,0.5835777126099707
cut,0.5818713450292398
know,0.5818713450292398
registration,0.5818713450292398
list,0.5801749271137027
log,0.5801749271137027
form,0.5801749271137027
kitna,0.5784883720930233
seat,0.5768115942028985
india,0.5751445086705202
delhi,0.5734870317002881
wale,0.5734870317002881
sikkim,0.5734870317002881
give,0.5718390804597702
baad,0.5718390804597702
english,0.5718390804597702
got,0.5702005730659025
option,0.5702005730659025
number,0.5702005730659025
skta,0.5685714285714286
sakte,0.5685714285714286
percentile,0.5669515669515669
subject,0.5669515669515669
government,0.5669515669515669
bed,0.5669515669515669
problem,0.5669515669515669
iss,0.5653409090909091
private,0.5637393767705382
kitne,0.5637393767705382
patna,0.5637393767705382
general,0.5621468926553672
possible,0.5621468926553672
kaisa,0.5621468926553672
result,0.5621468926553672
hoti,0.5605633802816902
round,0.5605633802816902
study,0.5605633802816902
batao,0.5589887640449438
first,0.5589887640449438
addmission,0.5574229691876751
bata,0.5574229691876751
govt,0.5574229691876751
paisa,0.5574229691876751
name,0.5558659217877095
online,0.5558659217877095
baar,0.5543175487465181
saal,0.5543175487465181
jaye,0.5543175487465181
information,0.5543175487465181
pas,0.5527777777777778
itna,0.5527777777777778
central,0.5527777777777778
website,0.5527777777777778
fill,0.5512465373961218
join,0.5512465373961218
usme,0.5512465373961218
life,0.5497237569060773
scholarship,0.5497237569060773
program,0.5497237569060773
agr,0.5482093663911846
start,0.5482093663911846
choose,0.5482093663911846
bad,0.5482093663911846
lakh,0.5482093663911846
apne,0.5467032967032966
question,0.5467032967032966
show,0.5467032967032966
kuchh,0.5467032967032966
har,0.5467032967032966
aisa,0.5467032967032966
ece,0.5452054794520548
jaise,0.5452054794520548
detail,0.5452054794520548
bar,0.5452054794520548
dono,0.5452054794520548
baki,0.5452054794520548
day,0.5437158469945356
available,0.5437158469945356
pata,0.5437158469945356
bta,0.5437158469945356
entrance,0.5437158469945356
bare,0.5437158469945356
jab,0.5437158469945356
aise,0.5437158469945356
check,0.5437158469945356
collage,0.5437158469945356
new,0.5437158469945356
aata,0.5437158469945356
system,0.5437158469945356
sath,0.5422343324250681
aapko,0.5422343324250681
sare,0.5407608695652174
gat,0.5407608695652174
thik,0.5407608695652174
yahi,0.5407608695652174
date,0.5407608695652174
think,0.5392953929539296
management,0.5392953929539296
counselling,0.5392953929539296
wala,0.5392953929539296
job,0.5392953929539296
hons,0.5378378378378378
rhi,0.5378378378378378
month,0.5378378378378378
kaam,0.5378378378378378
jadavpur,0.5378378378378378
din,0.5363881401617251
contact,0.5363881401617251
come,0.5363881401617251
bana,0.5363881401617251
open,0.5363881401617251
free,0.5363881401617251
hote,0.5349462365591398
sarkar,0.5349462365591398
karne,0.5349462365591398
padhai,0.5349462365591398
research,0.5349462365591398
pta,0.5335120643431636
apna,0.5335120643431636
provide,0.5335120643431636
work,0.5335120643431636
say,0.5320855614973262
kyuki,0.5320855614973262
jyada,0.5320855614973262
thing,0.5320855614973262
dena,0.5306666666666666
vote,0.5306666666666666
naam,0.5306666666666666
bit,0.5306666666666666
news,0.5292553191489362
mean,0.5292553191489362
level,0.5292553191489362
package,0.5292553191489362
desh,0.5278514588859416
people,0.5278514588859416
certificate,0.5278514588859416
ragging,0.5264550264550265
kabhi,0.525065963060686
technology,0.5236842105263158
use,0.5236842105263158
khud,0.5236842105263158
tech,0.5223097112860893
bjp,0.5209424083769634
kerala,0.5195822454308094
issue,0.5142118863049095
etc,0.5142118863049095
में,0.47836538461538464
लिए,0.45852534562211983
बिहार,0.45537757437070936
नहीं,0.41200828157349895
रहा,0.3678373382624769
है।,0.342512908777969
सरकार,0.33843537414965985
हैं,0.32892561983471075
