Source,Target,Weight
artificial,intelligence,11
placement,average,11
log,neta,11
category,chance,11
में,देश,11
best,luck,11
fee,low,10
maintain,cgpa,10
cusb,llb,10
अच्छा,बहुत,10
cutoff,ballb,10
job,great,10
state,quota,10
area,alawa,10
chahiye,milna,10
jab,tak,10
time,election,10
member,knowledgeable,10
noida,jaypee,10
ground,reporting,10
online,offline,10
cse,package,10
osmania,jntuh,10
cutoff,general,10
information,nice,10
mark,chahiye,10
excellence,diverse,10
average,lpa,10
better,deserve,10
quality,sakte,10
medium,social,10
based,merit,10
यही,हाल,10
get,job,10
available,offered,10
admission,list,10
support,community,10
quality,dedicated,10
में,यूनिवर्सिटी,10
get,branch,10
curricular,diverse,10
good,score,10
wale,log,10
good,tell,10
finance,self,10
open,portal,10
mujhe,milega,10
log,bihar,10
know,get,10
dikha,initial,10
शिक्षा,व्यवस्था,10
request,humble,10
proud,alig,10
har,jagah,10
admission,agriculture,10
ranking,world,10
exam,result,10
get,scholarship,10
class,start,10
get,able,10
subject,combination,10
get,score,10
ranking,based,10
kitna,jayega,10
update,whatsapp,10
reality,know,10
admission,portal,10
year,lakh,10
guidance,simply,10
free,full,10
exam,form,10
knowledgeable,experienced,10
math,gat,9
placement,core,9
best,option,9
get,easily,9
बिहार,अंबेडकर,9
science,patna,9
east,oxford,9
want,get,9
cse,category,9
hostel,room,9
admission,biotechnology,9
placement,fee,9
बिहार,शिक्षा,9
registration,date,9
noida,greater,9
बार,बाबासाहेब,9
cse,getting,9
category,ncl,9
rha,jaa,9
entrance,test,9
pata,chalega,9
दिया,बर्बाद,9
house,miranda,9
medium,godi,9
milega,agriculture,9
रहता,लेट,9
mark,english,9
aadhe,vasthundhi,9
national,anti,9
company,aati,9
हमेशा,सेशन,9
सेशन,लेट,9
हमेशा,दिखाइए,9
category,llb,9
बाबासाहेब,भीमराव,9
correction,window,9
bed,cusb,9
है।,रहा,9
chennai,cit,9
year,cut,9
चाहिए,होना,9
expected,cutoff,9
placement,wise,9
got,offer,9
better,jadavpur,9
saal,pichle,9
kanpur,hbtu,9
chahiye,honi,9
best,cse,9
bit,hyderabad,9
baad,saal,9
language,hindi,9
approved,aicte,9
package,median,9
मुजफ्फरपुर,दिखाइए,9
best,wish,9
coming,soon,9
feel,free,9
hota,kitna,9
rank,wbjee,9
higher,study,9
time,part,9
physical,reporting,9
science,technology,9
certificate,caste,9
registration,cusb,9
mahatma,gandhi,9
hostel,allotment,9
time,registration,9
support,full,9
ranjan,aditya,9
jai,hind,9
admission,category,9
biotechnology,cusb,9
rank,percentile,9
know,dont,9
reality,ground,8
jayega,cusb,8
aligarh,muslim,8
score,safe,8
hoti,problem,8
ram,shree,8
milega,branch,8
information,regarding,8
dedicated,enriching,8
mark,rha,8
information,website,8
में,कॉलेज,8
class,family,8
cse,jamshedpur,8
hindi,gat,8
में,साल,8
government,bihar,8
rank,vellore,8
better,bit,8
registration,open,8
तरह,इसी,8
return,investment,8
question,paper,8
rank,cse,8
year,final,8
whatsapp,guide,8
rank,branch,8
language,gat,8
year,abhi,8
bare,bata,8
medical,magadh,8
medical,halat,8
bare,bataiye,8
mujhe,rhi,8
pol,sci,8
bhopal,lnct,8
admission,bed,8
dete,vote,8
rhe,soch,8
jamia,milai,8
rank,viteee,8
cse,lpa,8
amal,jyothi,8
tak,round,8
rank,top,8
hoti,ragging,8
bata,sakta,8
abhi,apply,8
pas,ghar,8
got,selected,8
dimapur,imphal,8
corner,cry,8
provide,environment,8
fee,total,8
delhi,aiims,8
chala,pta,8
नहीं,रहा,8
chale,jao,8
chance,obc,8
com,hons,8
time,first,8
hostel,milega,8
god,bless,8
veer,kunwar,8
journalism,real,8
admission,yha,8
gurinchi,cheppandi,8
best,suggest,8
apply,skte,8
location,north,8
lene,soch,8
phule,pune,8
best,information,8
admission,rha,8
lpa,highest,8
agriculture,cusb,8
lpa,median,8
good,branch,8
narayan,mithila,8
hone,wala,8
fill,query,8
milai,banawo,8
good,morning,8
admission,gya,8
ajay,kumar,8
jan,suraj,8
shiv,nadar,8
admission,mark,8
नहीं,आया,8
north,sthit,8
bihar,haal,8
bta,rha,8
branch,electrical,8
halat,dikhaiye,8
abhi,maine,8
north,india,8
placement,record,8
ranking,good,8
year,iss,8
career,jumpstart,8
singh,kunwar,8
year,question,8
paisa,sara,8
नहीं,होता,8
hons,agriculture,8
online,bba,8
north,east,8
ranking,top,8
fee,reimbursement,7
apply,esic,7
bcom,program,7
apply,krne,7
नहीं,पता,7
rha,ban,7
placement,percentage,7
year,join,7
service,civil,7
rha,option,7
state,bihar,7
job,opportunity,7
uske,rahte,7
kitna,gat,7
sister,sath,7
counselling,start,7
chemistry,biology,7
culture,coding,7
sath,vishvnath,7
काम,रहे,7
guidance,career,7
got,seat,7
नहीं,कुछ,7
hoti,baar,7
year,coming,7
bta,sakte,7
bekar,placement,7
pure,desh,7
anna,podunga,7
month,baad,7
age,limit,7
bar,iss,7
time,vote,7
registration,form,7
allahabad,mnnit,7
karne,apply,7
doe,provide,7
stay,updated,7
यूनिवर्सिटी,मगध,7
kal,aaj,7
सभी,बिहार,7
ece,eee,7
ece,chennai,7
whatsapp,number,7
left,chat,7
website,cusb,7
rhe,dikha,7
year,integrated,7
obc,crl,7
log,rahte,7
jayega,bihar,7
doubt,regarding,7
raj,ftw,7
good,evening,7
wale,jane,7
rha,smjh,7
placement,company,7
test,aptitude,7
bolne,sach,7
jaise,manali,7
bombay,delhi,7
admission,possible,7
apne,sister,7
hostel,better,7
ragging,jadavpur,7
admission,good,7
rhi,soch,7
aao,jodhpur,7
hindi,medium,7
maine,mandir,7
padega,pachhtana,7
mark,gat,7
ragging,murder,7
maine,wahaa,7
journalism,mass,7
mark,obc,7
jyada,sabse,7
little,bit,7
glad,found,7
milega,cusb,7
alumnus,network,7
chance,llb,7
jaise,aisa,7
help,counselling,7
problem,uske,7
baar,mbm,7
baad,hone,7
form,bhar,7
baar,apne,7
baad,aane,7
international,relation,7
help,chahiye,7
branch,konsi,7
rank,kitni,7
baad,lene,7
mujhe,sharm,7
bit,sindri,7
baad,pachhtana,7
hope,understand,7
hota,padhai,7
fee,high,7
hostel,good,7
tech,vel,7
join,panitan,7
vishvnath,mandir,7
government,central,7
manali,goa,7
goa,sharm,7
information,chahiye,7
detail,check,7
system,indian,7
support,kijiye,7
branch,change,7
bihar,patna,7
great,choice,7
लिए,दिखाने,7
system,bihar,7
case,support,7
number,kitne,7
class,timing,7
date,jane,7
rank,good,7
podunga,esic,7
बात,सही,7
rank,general,7
package,lakh,7
दिया,जाता,7
zoology,botany,7
fee,month,7
call,query,7
depend,krta,7
security,cyber,7
prashant,kishore,7
test,series,7
clg,kaisa,7
want,choose,7
aisa,wahaa,7
round,kitne,7
technology,quad,7
percentile,muslim,7
bed,integrated,7
top,come,7
ism,dhanbad,7
admission,jadavpur,7
girl,safe,7
year,complete,6
mujhe,bcom,6
candidate,obc,6
dhyan,apna,6
top,private,6
mit,wpu,6
kitna,rha,6
chemistry,math,6
got,know,6
सकता,नहीं,6
jntu,kakinada,6
pehle,din,6
mujhe,agriculture,6
kitna,time,6
saal,har,6
apne,bacho,6
lene,yahi,6
apply,maine,6
aaj,apply,6
seat,vacant,6
file,rti,6
agriculture,pcb,6
branch,related,6
whi,fltu,6
year,admission,6
sri,krishna,6
top,lallan,6
mujhe,pata,6
boy,hostel,6
science,class,6
nitish,modi,6
lpa,ece,6
cover,kijiye,6
based,placement,6
top,collage,6
admission,round,6
kitna,kaam,6
facility,infrastructure,6
kitna,central,6
studying,currently,6
mujhe,btao,6
मिल,रहा,6
पत्रकारिता,सच्ची,6
top,list,6
get,decent,6
general,english,6
future,bright,6
window,open,6
case,nalanda,6
btao,janta,6
bad,good,6
instrumentation,electronics,6
true,journalism,6
possible,soon,6
get,try,6
ranking,fake,6
exam,iat,6
category,agriculture,6
admission,jmi,6
mess,food,6
isse,padega,6
baad,result,6
reality,bihar,6
विश्व,गुरु,6
delhi,new,6
nalanda,bar,6
