NGram,Frequency
mess fee,36
hostel mess,33
taking addmission,15
sppu hostel,15
addmission sppu,15
sppu chemistry,15
tell sppu,15
process taking,15
chemistry tell,15
cut kitna,13
kitna ban,12
hostel fee,11
wrong information,11
get admission,10
political science,10
lower branch,9
problem hoti,8
entrance exam,8
anti national,8
ban rha,8
wale log,8
uske baad,8
rahte uske,7
log rahte,7
sharm mujhe,7
placement bekar,7
maine wahaa,7
jane wale,7
manali goa,7
sath vishvnath,7
