Hashtag,Frequency
#jadavpur,3
#iitkharagpur,3
#newspinch,3
#jadavpuruniversity,2
#india,2
#nirf,2
#cm,2
#aarifsir,1
#patna,1
#lalit_narayan_mithila_university,1
#media_entry,1
#minister,1
#narendramodi,1
#nitishkumar,1
#opretion2030,1
#patna_university,1
#justiceforsonam,1
#patnauniversity,1
#pk,1
#prashant,1
