hashtag,sentiment,university_name,published_at,likes,reply_count
#jadavpur,Neutral,Jadavpur University,2023-11-06 06:40:49+00:00,0,0
#sir,Positive,Jadavpur University,2023-11-06 04:48:43+00:00,1,1
#contents,Positive,Jadavpur University,2023-11-06 04:48:43+00:00,1,1
#jadavpur,Neutral,Jadavpur University,2023-11-06 06:06:43+00:00,0,0
#tilkamanjhi,Positive,Patna University,2025-10-01 03:36:27+00:00,0,0
#abhinavpandey,Positive,Patna University,2025-10-01 03:36:27+00:00,0,0
#thepinchnews,Positive,Patna University,2025-10-01 03:36:27+00:00,0,0
#staywithbihar,Neutral,Patna University,2025-09-29 13:59:12+00:00,0,0
#pk,Neutral,Patna University,2025-10-02 04:59:12+00:00,0,0
#bihar,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#narendramodi,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#nitishkumar,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#bjp,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#jdu,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#patna,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#patnauniversity,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#india,Neutral,Patna University,2025-09-30 08:38:21+00:00,0,0
#engineering,Positive,Indian Institute of Management,2024-09-16 13:49:41+00:00,1,1
#iim,Positive,Indian Institute of Management,2024-09-15 16:36:12+00:00,1,1
#alig,Positive,Banaras Hindu University,2024-01-18 16:25:08+00:00,5,1
#iitkharagpur,Positive,Pondicherry University,2023-08-03 12:51:48+00:00,0,0
#sundarpichai,Positive,Pondicherry University,2023-08-03 12:51:48+00:00,0,0
#nirfranking2022,Negative,Pondicherry University,2023-08-03 13:04:37+00:00,0,0
#paidrankings,Negative,Pondicherry University,2023-08-03 13:04:37+00:00,0,0
#aspiringexcellence,Positive,Pondicherry University,2023-08-03 12:02:12+00:00,1,1
#topinstitutes,Positive,Pondicherry University,2023-08-03 12:02:12+00:00,1,1
#nirfrankings,Positive,Pondicherry University,2023-08-03 12:02:12+00:00,1,1
#nirfranking,Positive,Pondicherry University,2023-08-03 12:01:51+00:00,1,1
#paidrankings,Positive,Pondicherry University,2023-08-03 12:01:51+00:00,1,1
#iitkharagpur,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#bestuniversity,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#sundar,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#ceo,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#alphabet,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#google,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#arvindkrishna,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#ibm,Neutral,Pondicherry University,2023-08-03 12:00:12+00:00,2,1
#educationalgoal,Positive,Pondicherry University,2023-08-03 11:56:36+00:00,1,1
#nirfranking,Positive,Pondicherry University,2023-08-03 11:56:36+00:00,1,1
#iit,Positive,Pondicherry University,2023-08-03 11:54:00+00:00,1,1
#institute,Positive,Pondicherry University,2023-08-03 11:54:00+00:00,1,1
#iitkharagpur,Positive,Pondicherry University,2023-08-04 15:29:10+00:00,0,0
#iit,Neutral,Pondicherry University,2023-08-03 11:52:56+00:00,0,0
#iitjee,Neutral,Pondicherry University,2023-08-03 11:52:56+00:00,0,0
#jeeadvanced,Neutral,Pondicherry University,2023-08-03 11:52:56+00:00,0,0
#rank,Positive,Pondicherry University,2023-08-03 11:56:47+00:00,1,0
#jeeadvancedexams,Positive,Pondicherry University,2023-08-03 11:56:47+00:00,1,0
#iitkharagpur,Neutral,Pondicherry University,2023-08-03 11:47:13+00:00,1,1
#india,Neutral,Pondicherry University,2023-08-03 11:57:19+00:00,0,0
#iitkharagpur,Neutral,Pondicherry University,2023-08-03 11:57:19+00:00,0,0
#educationalleaders,Positive,Pondicherry University,2023-08-03 11:46:48+00:00,1,1
#learninginspiration,Positive,Pondicherry University,2023-08-03 11:46:48+00:00,1,1
#nirfrankings,Positive,Pondicherry University,2023-08-03 11:46:48+00:00,1,1
#jnu,Negative,Pondicherry University,2023-08-03 11:50:48+00:00,0,0
#students,Positive,Pondicherry University,2023-08-03 11:45:12+00:00,1,1
#parents,Positive,Pondicherry University,2023-08-03 11:45:12+00:00,1,1
#boardstudents,Positive,Pondicherry University,2023-08-03 11:45:12+00:00,1,1
#fakerankings,Neutral,Jawaharlal Nehru University,2023-06-06 06:05:22+00:00,0,0
#suleman,Positive,Jawaharlal Nehru University,2023-06-06 05:52:26+00:00,12,0
