NGram,Frequency
political science,116
get admission,102
news pinch,92
entrance exam,88
preference list,85
obc ncl,79
पत रक,78
general category,74
obc category,63
computer science,61
form fill,60
west bengal,54
average package,54
वव लय,53
life science,51
curricular activity,50
merit list,49
admission process,48
plaksha upr,48
upr vdo,48
hey whatsapp,48
abhi tak,45
send hey,44
hostel mess,44
hostel fee,44
package lpa,43
bcom hons,43
notice try,43
come notice,43
big fan,42
