Keyword,TFIDF Score
good,0.031201187927858507
best,0.025879651751661233
nice,0.020195137976965913
love,0.019239419954714718
nepal,0.017979495380886824
better,0.015015565136840279
justice,0.013422055508065283
cse,0.013403637794034097
voice,0.013351689772977954
placement,0.013099729242070481
get,0.012837341607298273
dream,0.012289656374471481
india,0.011591750306729754
tell,0.011417224922616947
want,0.011008948363759992
raising,0.01093340877694938
great,0.010822924170718663
admission,0.01072535587319911
year,0.010720093550540813
hostel,0.010039025248745495
join,0.009841447710970884
support,0.009731549887152802
raising voice,0.009658134196563627
help,0.009330024554195225
nepali,0.008758683695198138
indian,0.00846485024731067
branch,0.008452053499849333
brother,0.00834551738575914
lot,0.007746145253018011
love nepal,0.00736863518751012
people,0.007325422607775653
sure,0.007217161759878411
fee,0.006903025095347291
got,0.006894964684936472
know,0.006891798246232292
chance,0.00664092343226381
respect,0.006635146937893277
worth,0.006633840549432595
top,0.006554038115605986
rank,0.006257833414891558
true,0.006162247921215902
bhopal,0.006090180407019869
beautiful,0.00600233051602616
girl,0.005964241151573591
ece,0.0059143023496025125
mujhe,0.005775382719105628
time,0.005638615071738504
give,0.005615232013937035
free,0.005505689148641634
hope,0.005435693550850542
