Keyword,TFIDF Score
bit,0.04398057748634843
technology,0.025289587139475656
best,0.01537648557692747
jaipur,0.01439945110598594
pune,0.014194452772846283
hyderabad,0.013610730269982123
delhi,0.01177257891538667
vellore,0.011057786342947098
mit,0.011012958477107558
tell,0.010293802918545768
year,0.010143381216820803
get,0.010002555408251077
bitsat,0.009873748340286651
jadavpur,0.009842400835495396
bare,0.0092896339744119
give,0.008801083382631464
clg,0.008610654753716926
parul,0.00844761687347795
patna,0.008360586079854697
trichy,0.008280611909163856
kanpur,0.008071719680957516
kolkata,0.007956872784599679
goa,0.007841630719747746
bhopal,0.007566792702927193
want,0.007238806309235822
branch,0.00709739539646091
dehradun,0.006989653769634093
lakh,0.006940219155874976
exam,0.0068357539912159565
information,0.006790236299505748
good,0.006733499745664169
bangalore,0.0067333215120620425
bhubaneswar,0.006582057379673222
chahiye,0.006407624634582105
rajasthan,0.006312585862411802
bombay,0.006281822657154456
collage,0.006262345649034311
placement,0.006212249250842444
know,0.006199461248945966
reservation,0.006015078079667684
allahabad,0.0057900988712190245
dijiye,0.0057765981193959705
attendance,0.005655324282430394
aiims,0.005599484550993003
noida,0.005533978147502645
coep,0.005499216420442756
mumbai,0.005468154194544619
tech,0.0054489963962514425
nagpur,0.005338694530543458
kharagpur,0.005323655784231041
