University,Top Keyword,TFIDF Score
KIIT University,nepal,0.0388
IIT Bombay,bombay,0.0402
IIT Madras,madras,0.0333
Galgotias University,admission,0.0415
Lovely Professional University,admission,0.0285
NIT Trichy,soon,0.0451
NIT Warangal,mess,0.0336
Delhi University,aiims,0.0241
BITS Pilani,bit,0.044
NIT Silchar,silchar,0.0466
