Keyword,TFIDF Score
silchar,0.0466023505436923
branch,0.024331114892459312
ece,0.020302827783538844
best,0.020242059814239165
year,0.018878323130547752
cse,0.01879636378198128
placement,0.017863484295933162
good,0.016334388439214944
hostel,0.0161928094665691
great,0.015600019130653365
lot,0.015118017282562915
guy,0.012702129813775869
percentile,0.011896663479707996
rank,0.011517504573328952
get,0.01141790415514281
kaisa,0.010777414283517802
assam,0.01075987563197044
got,0.010658281604498767
mechanical,0.009916141625839172
civil,0.009672851938951116
work,0.00936359625625916
hota,0.008686483134705393
rha,0.00862657378320477
lpa,0.008173699856119378
package,0.008138947473856692
cutoff,0.007682821009907473
mujhe,0.007554775089548702
state,0.00753660105022883
electrical,0.007457224656778324
jayega,0.007009424444470951
gya,0.006777945755055533
love,0.0066801293376086545
top,0.006666958124234779
home,0.00660214451337326
durgapur,0.006324453350779451
first,0.006300734425923034
tell,0.0062042659055120694
nice,0.006203286052933826
kurukshetra,0.006153867084703151
room,0.006105247601120515
kitna,0.006034732121397432
obc,0.006029829899369811
getting,0.006023782952520489
pec,0.006004546403360609
ragging,0.005641037130963324
great work,0.00562323349633223
dada,0.005546903558484325
technology,0.005496401383099159
girl,0.005438287993412668
abhi,0.005381294743452347
