Keyword,TFIDF Score
admission,0.04152725259914801
good,0.028225504381455956
galgotia,0.02255090937173589
kaisa,0.021165201938886585
placement,0.01779479387235205
best,0.017427248422838902
cse,0.017109917276956023
thankyou,0.014326688434786634
fee,0.013446212210306162
bpt,0.013306856888850891
pracheeverma,0.013147051394461182
mujhe,0.013009630763131408
addmission,0.012259724455270755
year,0.011351130986350221
bba,0.01106441520619766
dear,0.010412200665763857
better,0.00974016093276912
noida,0.009256516108771321
bajaj,0.009140322499051093
gcet,0.009107579282288766
jayega,0.008564945535696153
tell,0.008543761223187002
direct,0.00814885772494661
abhi,0.007459840492630189
class,0.007425353472004237
rha,0.007226862470470662
maine,0.007184574428533464
block,0.0071151695241910215
chahiye,0.007077773989412964
suggest,0.007032687659730651
galgotiya,0.006896200461653197
tech,0.0064721806533981005
clg,0.006264587434794137
lakh,0.006184320407300244
want,0.006013499273152912
nursing,0.006010304109547328
iilm,0.00594166453286991
direct admission,0.005854944400924105
pcm,0.005844597205821593
help,0.005764858918060924
hota,0.005571828143974443
kitna,0.0054365157022059005
lia,0.005373042469130641
get,0.00524739183556124
biotechnology,0.005236893869266895
niu,0.00523683172535758
sakte,0.005105011922597314
shi,0.005083087988055758
robot,0.005028180062298353
rhe,0.005009105970571545
