Keyword,TFIDF Score
aiims,0.02413711361130613
delhi,0.02169848917628716
dream,0.02099368713449752
best,0.02075808808944761
good,0.015559508950768455
got,0.015068656384497406
mujhe,0.014676138908993814
rishikesh,0.01461064391797176
year,0.014343085633327405
category,0.01385835542356748
north,0.01375070000858935
hons,0.013537785354477298
get,0.013410003425487914
south,0.013164914205678982
bcom,0.012239510660543792
coming,0.011786768244826393
tell,0.011391659250295196
inshallah,0.010989247482845693
score,0.010875981430390319
aiims rishikesh,0.010588661071996446
science,0.01047264635517555
better,0.01046754273462891
admission,0.010136680967146977
mark,0.009248589411380327
hindu,0.009175189528141454
placement,0.007847780191929247
round,0.007839350478708899
kalindi,0.0077803095134550025
girl,0.007759820514061919
kaisa,0.0077372695710378105
want,0.007654634813157356
sakta,0.0076520244377097585
obc,0.007489042500773547
option,0.007488261388722056
hota,0.007344649771572144
upgrade,0.007326581054082436
nice,0.007307719310988944
jayega,0.006965824178426861
igdtuw,0.006762593796988493
general,0.006679603137371288
singh,0.006589366388635489
manifesting,0.006480270618736917
chance,0.006324208825903779
paathshalaa,0.006274049420618611
preference,0.006213637869324999
help,0.005900582683936386
srcc,0.00583870549002612
clg,0.005725443078190512
state,0.005633369308848442
dubuddy,0.005573392614253092
