university_name,category,keyword,video_id,video_title,channel_name,published_at
IIT Kanpur,fees,fees review,sWeVTmyeJfY,IIT Kanpur🔥Complete Details !! 1 Cr. Package to 33 Students 🤩💪,JEE Wallah,2023-05-19T14:00:40Z
IIT Kanpur,fees,fees review,CfoGsQEEh2o,IIT KANPUR Review in One minute 😍 #shorts #iitmotivation,Ritik Meghwani,2022-05-25T15:01:05Z
IIT Kanpur,fees,fees review,kgMoR5Obqjk,IIT Kanpur college review 2025 : Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-11-02T06:30:24Z
IIT Kanpur,fees,fees review,kE7HJE1h97I,IIT Kanpur Campus *EXPOSED* 🥹  IIT-JEE Expectations vs Reality 😂 IIT Kanpur Campus Tour #iit,RDS Vlogs [IIT Guwahati],2025-05-11T09:00:53Z
IIT Kanpur,fees,fees review,e9jruj1EMUQ,IIT KANPUR PLACEMENT 2024-25 🔥 || HIGHEST PACKAGE 🤑 || AVERAGE PACKAGE 😳 #shorts,Tarkar vlog,2025-05-12T12:18:11Z
IIT Kanpur,fees,fees review,0bGlKpGQ7zU,"🎓 “IIT Kanpur MSc Fee Structure | Tuition, Hostel, Mess &amp; Total Cost Explained”",Formula zone,2025-10-17T18:51:25Z
IIT Kharagpur,fees,fees review,NNtORESMDic,IIT Kharagpur FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-06-24T15:30:09Z
IIT Kharagpur,fees,fees review,v9corvnsiEg,All About IIT Kharagpur | NCET ITEP Exam | Complete information | Best IIT For ITEP NCET | NCET 2026,NCET CONCEPT ,2025-10-06T10:06:51Z
IIT Kharagpur,fees,fees review,ITqABc695so,"IIT Kharagpur M.Tech Admission | Placements, Fees, Cutoff | CE | ME | XE Branch | Complete Guidance","GATE Wallah - ME, CE, XE, CH, PI & ES",2025-04-03T01:01:59Z
IIT Kharagpur,fees,fees review,hSOWgSYv5mw,"IIT Kharagpur M.Tech Admission 2026 | Courses, Cutoff, Fees &amp; Placement, Admission | Complete Guide",GATE Wallah CSE & DA,2026-04-04T03:34:09Z
IIT Kharagpur,fees,fees review,981ZdDgGIhs,"IIT Kharagpur M.Tech Admission 2026 | ME | Fees, Courses, Cutoff, Placement | Post GATE Guidance","GATE Wallah - ME, CE, XE, CH, PI & ES",2026-04-04T04:10:29Z
IIT Kharagpur,fees,fees review,f4OhlALW5fg,"IIT Kharagpur With Average GATE Score | Placement, Cutoff, Popular Courses, Fees | Complete Details",GATE Wallah,2025-04-01T07:30:16Z
IIT Kharagpur,fees,fees review,EGDUei3bXYg,💥 IIT Kharagpur JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-23T10:30:16Z
IIT Kharagpur,fees,fees review,upYEbAvQrxs,"IIT Kharagpur MBA &amp; MHRM😍 | Cutoff, Fees &amp; Placements | Worth It or Not? | Admission 2026",Ankit Verma - MBAshala,2026-01-13T06:46:15Z
IIT Kharagpur,fees,fees review,JlnkpZmhbSc,🤯IIT KHARAGPUR Review in 30 Secs!⚡️| Fees | Placement #jee #iit,selfPadhai - Rohit Nagar,2024-07-22T14:00:48Z
IIT Kharagpur,fees,fees review,nppCVOy89dU,IIT Kharagpur scam explained 😱💔 |,Akash Gupta [ NITP ],2024-07-16T15:30:21Z
IIT Roorkee,fees,fees review,61l3W-tMjzE,IIT ROORKEE Review in 30 secs!🔥| Campus | Placement | Fees #review,selfPadhai - Rohit Nagar,2024-07-13T14:58:27Z
IIT Roorkee,fees,fees review,r16Unbz8Fcw,IIT Roorkee FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-06-27T15:30:36Z
IIT Roorkee,fees,fees review,19EPj27jbNo,"All About IIT Roorkee | IIT Roorkee Honest Review | Best Branch, Cut-Offs, Fees &amp; Placements​",Vedantu JEE Made Ejee,2023-06-06T02:37:14Z
IIT Roorkee,fees,fees review,ZKL_szaLsPE,💥 IIT Roorkee JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-24T06:30:19Z
IIT Roorkee,fees,fees review,t_ZUsYZhiT8,IIT Roorkee Fee Structure | B.Tech 1st Year Fee | #Shorts,Exam Update By Ashish Sir,2021-05-24T11:30:07Z
IIT Roorkee,fees,fees review,IOo3Mj_0Gvo,IIT Roorkee में मिलती है Aisi PUNISHMENT 😨😨 #jee  #jeemains2024 #iitjee #jeemains #jeemotivation,Vedantu JEE Made Ejee,2023-08-13T13:30:12Z
IIT Roorkee,fees,fees review,cmPK2Al74jk,Best Online Most Demanding Courses Offered By IIT ROORKEE 🥵🥵🥶#skills #ai #course #iit,Your Path To Success ,2025-06-09T13:20:27Z
IIT Roorkee,fees,fees review,4XQT_AUgugA,"IIT Roorkee Review | Admission, Hostel, Placements | My Clg!! VIDEO 214/365",Dheeraj Mourya,2024-06-13T15:20:00Z
IIT Guwahati,fees,fees review,f4R7LMeYr6g,IIT Guwahati FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-07-02T09:30:23Z
